measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,fourth_split_type,fourth_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,seb_three_cat,label
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,1997,NA,NA,NA,NA,NA,NA,1997-2024,4.013,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,1998,NA,NA,NA,NA,NA,NA,1997-2024,3.99,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,1999,NA,NA,NA,NA,NA,NA,1997-2024,3.993,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2000,NA,NA,NA,NA,NA,NA,1997-2024,3.961,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2001,NA,NA,NA,NA,NA,NA,1997-2024,4.033,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2002,NA,NA,NA,NA,NA,NA,1997-2024,4.019,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2003,NA,NA,NA,NA,NA,NA,1997-2024,3.978,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2004,NA,NA,NA,NA,NA,NA,1997-2024,3.956,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2005,NA,NA,NA,NA,NA,NA,1997-2024,3.996,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2006,NA,NA,NA,NA,NA,NA,1997-2024,3.97,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2007,NA,NA,NA,NA,NA,NA,1997-2024,3.93,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2008,NA,NA,NA,NA,NA,NA,1997-2024,3.945,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2009,NA,NA,NA,NA,NA,NA,1997-2024,3.948,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2010,NA,NA,NA,NA,NA,NA,1997-2024,3.963,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2011,NA,NA,NA,NA,NA,NA,1997-2024,3.962,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2012,NA,NA,NA,NA,NA,NA,1997-2024,3.864,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2013,NA,NA,NA,NA,NA,NA,1997-2024,3.863,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2014,NA,NA,NA,NA,NA,NA,1997-2024,3.821,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2015,NA,NA,NA,NA,NA,NA,1997-2024,3.725,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2016,NA,NA,NA,NA,NA,NA,1997-2024,3.621,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2017,NA,NA,NA,NA,NA,NA,1997-2024,3.568,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2018,NA,NA,NA,NA,NA,NA,1997-2024,3.54,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,4%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2019,NA,NA,NA,NA,NA,NA,1997-2024,3.456,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,3%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2020,NA,NA,NA,NA,NA,NA,1997-2024,3.407,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,3%
dr11,Distribution of earnings,trend,K02000001,country,United Kingdom,year,2021,NA,NA,NA,NA,NA,NA,1997-2024,3.268,NA,NA,NA,Ratio,NA,NA,NA,NA,NA,NA,3%
