"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2013/14",NA,NA,NA,NA,NA,NA,"2013/14",38.561,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"39%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2014/15",NA,NA,NA,NA,NA,NA,"2014/15",35.365,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"35%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2015/16",NA,NA,NA,NA,NA,NA,"2015/16",33.335,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"33%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2016/17",NA,NA,NA,NA,NA,NA,"2016/17",41.123,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"41%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2017/18",NA,NA,NA,NA,NA,NA,"2017/18",37.827,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"38%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2018/19",NA,NA,NA,NA,NA,NA,"2018/19",34.351,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"34%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2019/20",NA,NA,NA,NA,NA,NA,"2019/20",40.7,"39.500","41.900",NA,"Percent",NA,NA,NA,NA,NA,"41%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2020/21",NA,NA,NA,NA,NA,NA,"2020/21",41.256,"40.083","42.439",NA,"Percent",NA,NA,NA,NA,NA,"41%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2021/22",NA,NA,NA,NA,NA,NA,"2021/22",33.93,"32.833","35.045",NA,"Percent",NA,NA,NA,NA,NA,"34%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2022/23",NA,NA,NA,NA,NA,NA,"2022/23",NA,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"NA%"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2023/24",NA,NA,NA,NA,NA,NA,"2023/24",33.338,"33.058","33.621",NA,"Percent",NA,NA,NA,NA,NA,"33%"
