"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year","2020",NA,NA,NA,NA,"2020-2024",25,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"25%"
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year","2020",NA,NA,NA,NA,"2020-2024",54,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"54%"
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year","2020",NA,NA,NA,NA,"2020-2024",46,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"46%"
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year","2020",NA,NA,NA,NA,"2020-2024",18,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"18%"
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year","2020",NA,NA,NA,NA,"2020-2024",27,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"27%"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year","2021",NA,NA,NA,NA,"2020-2024",45,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"45%"
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year","2021",NA,NA,NA,NA,"2020-2024",74,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"74%"
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year","2021",NA,NA,NA,NA,"2020-2024",50,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"50%"
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year","2021",NA,NA,NA,NA,"2020-2024",35,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"35%"
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year","2021",NA,NA,NA,NA,"2020-2024",46,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"46%"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year","2022",NA,NA,NA,NA,"2020-2024",70,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"70%"
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year","2022",NA,NA,NA,NA,"2020-2024",85,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"85%"
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year","2022",NA,NA,NA,NA,"2020-2024",62,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"62%"
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year","2022",NA,NA,NA,NA,"2020-2024",51,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"51%"
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year","2022",NA,NA,NA,NA,"2020-2024",69,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"69%"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year","2023",NA,NA,NA,NA,"2020-2024",77,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"77%"
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year","2023",NA,NA,NA,NA,"2020-2024",91,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"91%"
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year","2023",NA,NA,NA,NA,"2020-2024",70,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"70%"
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year","2023",NA,NA,NA,NA,"2020-2024",63,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"63%"
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year","2023",NA,NA,NA,NA,"2020-2024",76,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"76%"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year","2024",NA,NA,NA,NA,"2020-2024",83,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"83%"
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year","2024",NA,NA,NA,NA,"2020-2024",93,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"93%"
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year","2024",NA,NA,NA,NA,"2020-2024",76,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"76%"
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year","2024",NA,NA,NA,NA,"2020-2024",72,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"72%"
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year","2024",NA,NA,NA,NA,"2020-2024",82,"NA","NA",NA,"Percent",NA,NA,NA,NA,NA,"82%"
"dr51","Broadband speed","geography_caterpillar","TLC1","ITL2","Tees Valley and Durham","area_name","Tees Valley and Durham","quintile","3",NA,NA,NA,NA,"2024",80.014,"NA","NA","484733","Percent",NA,NA,NA,NA,NA,"80%"
"dr51","Broadband speed","geography_caterpillar","TLD7","ITL2","Merseyside","area_name","Merseyside","quintile","4",NA,NA,NA,NA,"2024",87.891,"NA","NA","670937","Percent",NA,NA,NA,NA,NA,"88%"
"dr51","Broadband speed","geography_caterpillar","TLD6","ITL2","Cheshire","area_name","Cheshire","quintile","3",NA,NA,NA,NA,"2024",82.053,"NA","NA","389818","Percent",NA,NA,NA,NA,NA,"82%"
"dr51","Broadband speed","geography_caterpillar","TLD4","ITL2","Lancashire","area_name","Lancashire","quintile","3",NA,NA,NA,NA,"2024",81.997,"NA","NA","616875","Percent",NA,NA,NA,NA,NA,"82%"
"dr51","Broadband speed","geography_caterpillar","TLE1","ITL2","East Yorkshire and Northern Lincolnshire","area_name","East Yorkshire and Northern Lincolnshire","quintile","5",NA,NA,NA,NA,"2024",91.469,"NA","NA","422423","Percent",NA,NA,NA,NA,NA,"91%"
"dr51","Broadband speed","geography_caterpillar","TLE2","ITL2","North Yorkshire","area_name","North Yorkshire","quintile","1",NA,NA,NA,NA,"2024",73.18,"NA","NA","309655","Percent",NA,NA,NA,NA,NA,"73%"
"dr51","Broadband speed","geography_caterpillar","TLF1","ITL2","Derbyshire and Nottinghamshire","area_name","Derbyshire and Nottinghamshire","quintile","3",NA,NA,NA,NA,"2024",83.354,"NA","NA","896708","Percent",NA,NA,NA,NA,NA,"83%"
"dr51","Broadband speed","geography_caterpillar","TLF2","ITL2","Leicestershire, Rutland and Northamptonshire","area_name","Leicestershire, Rutland and Northamptonshire","quintile","4",NA,NA,NA,NA,"2024",86.672,"NA","NA","747123","Percent",NA,NA,NA,NA,NA,"87%"
"dr51","Broadband speed","geography_caterpillar","TLG1","ITL2","Herefordshire, Worcestershire and Warwickshire","area_name","Herefordshire, Worcestershire and Warwickshire","quintile","2",NA,NA,NA,NA,"2024",79.981,"NA","NA","539546","Percent",NA,NA,NA,NA,NA,"80%"
"dr51","Broadband speed","geography_caterpillar","TLG2","ITL2","Shropshire and Staffordshire","area_name","Shropshire and Staffordshire","quintile","2",NA,NA,NA,NA,"2024",78.014,"NA","NA","619033","Percent",NA,NA,NA,NA,NA,"78%"
"dr51","Broadband speed","geography_caterpillar","TLK1","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","area_name","Gloucestershire, Wiltshire and Bath/Bristol area","quintile","2",NA,NA,NA,NA,"2024",79.677,"NA","NA","968201","Percent",NA,NA,NA,NA,NA,"80%"
"dr51","Broadband speed","geography_caterpillar","TLK4","ITL2","Devon","area_name","Devon","quintile","2",NA,NA,NA,NA,"2024",76.788,"NA","NA","477284","Percent",NA,NA,NA,NA,NA,"77%"
"dr51","Broadband speed","geography_caterpillar","TLH1","ITL2","East Anglia","area_name","East Anglia","quintile","1",NA,NA,NA,NA,"2024",71.399,"NA","NA","890357","Percent",NA,NA,NA,NA,NA,"71%"
"dr51","Broadband speed","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","area_name","Bedfordshire and Hertfordshire","quintile","4",NA,NA,NA,NA,"2024",85.178,"NA","NA","724435","Percent",NA,NA,NA,NA,NA,"85%"
"dr51","Broadband speed","geography_caterpillar","TLH3","ITL2","Essex","area_name","Essex","quintile","3",NA,NA,NA,NA,"2024",82.723,"NA","NA","719616","Percent",NA,NA,NA,NA,NA,"83%"
"dr51","Broadband speed","geography_caterpillar","TLJ4","ITL2","Kent","area_name","Kent","quintile","2",NA,NA,NA,NA,"2024",75.524,"NA","NA","657537","Percent",NA,NA,NA,NA,NA,"76%"
"dr51","Broadband speed","geography_caterpillar","TLJ1","ITL2","Berkshire, Buckinghamshire and Oxfordshire","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile","3",NA,NA,NA,NA,"2024",84.227,"NA","NA","951749","Percent",NA,NA,NA,NA,NA,"84%"
