"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period","2019",NA,NA,NA,NA,"2019",24.8,"NA","NA","143317","Percentage",NA,NA,NA,NA,NA,"25%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period","2019",NA,NA,NA,NA,"2019",50.1,"NA","NA","396729","Percentage",NA,NA,NA,NA,NA,"50%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period","2019",NA,NA,NA,NA,"2019",43.4,"NA","NA","540046","Percentage",NA,NA,NA,NA,NA,"43%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period","2020",NA,NA,NA,NA,"2020",30.4,"NA","NA","146214","Percentage",NA,NA,NA,NA,NA,"30%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period","2020",NA,NA,NA,NA,"2020",56.8,"NA","NA","415780","Percentage",NA,NA,NA,NA,NA,"57%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period","2020",NA,NA,NA,NA,"2020",49.9,"NA","NA","561994","Percentage",NA,NA,NA,NA,NA,"50%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period","2021",NA,NA,NA,NA,"2021",31.7,"NA","NA","151973","Percentage",NA,NA,NA,NA,NA,"32%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period","2021",NA,NA,NA,NA,"2021",59.2,"NA","NA","423890","Percentage",NA,NA,NA,NA,NA,"59%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period","2021",NA,NA,NA,NA,"2021",51.9,"NA","NA","575863","Percentage",NA,NA,NA,NA,NA,"52%"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period","2022",NA,NA,NA,NA,"2022",29.7,"NA","NA","154167","Percentage",NA,NA,NA,NA,NA,"30%"
