measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,fourth_split_type,fourth_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,label
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2016,seb,Lower working,he_entry,he_entry,NA,NA,2014 to 2024,16.306,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,16%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2016,seb,Higher working,he_entry,he_entry,NA,NA,2014 to 2024,20.556,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,21%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2016,seb,Intermediate,he_entry,he_entry,NA,NA,2014 to 2024,29.683,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,30%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2016,seb,Lower professional,he_entry,he_entry,NA,NA,2014 to 2024,36.572,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,37%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2016,seb,Higher professional,he_entry,he_entry,NA,NA,2014 to 2024,44,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,44%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2017,seb,Lower working,he_entry,he_entry,NA,NA,2014 to 2024,18.339,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,18%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2017,seb,Higher working,he_entry,he_entry,NA,NA,2014 to 2024,23.1,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,23%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2017,seb,Intermediate,he_entry,he_entry,NA,NA,2014 to 2024,30.984,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,31%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2017,seb,Lower professional,he_entry,he_entry,NA,NA,2014 to 2024,36.057,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,36%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2017,seb,Higher professional,he_entry,he_entry,NA,NA,2014 to 2024,42.585,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,43%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2018,seb,Lower working,he_entry,he_entry,NA,NA,2014 to 2024,19.892,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,20%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2018,seb,Higher working,he_entry,he_entry,NA,NA,2014 to 2024,23.872,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,24%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2018,seb,Intermediate,he_entry,he_entry,NA,NA,2014 to 2024,30.622,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,31%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2018,seb,Lower professional,he_entry,he_entry,NA,NA,2014 to 2024,39.7,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,40%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2018,seb,Higher professional,he_entry,he_entry,NA,NA,2014 to 2024,44.253,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,44%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2019,seb,Lower working,he_entry,he_entry,NA,NA,2014 to 2024,20.137,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,20%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2019,seb,Higher working,he_entry,he_entry,NA,NA,2014 to 2024,24.433,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,24%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2019,seb,Intermediate,he_entry,he_entry,NA,NA,2014 to 2024,28.724,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,29%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2019,seb,Lower professional,he_entry,he_entry,NA,NA,2014 to 2024,41.165,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,41%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2019,seb,Higher professional,he_entry,he_entry,NA,NA,2014 to 2024,46.434,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,46%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2020,seb,Lower working,he_entry,he_entry,NA,NA,2014 to 2024,19.418,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,19%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2020,seb,Higher working,he_entry,he_entry,NA,NA,2014 to 2024,27.492,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,27%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2020,seb,Intermediate,he_entry,he_entry,NA,NA,2014 to 2024,30.66,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,31%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2020,seb,Lower professional,he_entry,he_entry,NA,NA,2014 to 2024,41.421,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,41%
in22,Entry to higher education,trend_moving_average,K02000001,country,United Kingdom,year,2020,seb,Higher professional,he_entry,he_entry,NA,NA,2014 to 2024,46.658,NA,NA,NA,Average,3-year moving average,NA,NA,NA,NA,47%
