"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci4","Promising Prospects","composite_index",,"Local Authority","Aberdeen City","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",-0.107,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Aberdeenshire","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",0.062,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Angus","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",-0.437,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2018 to 2021","zscore_category","Bottom 30-15%",,,,,"2018 to 2021",-0.523,,,,"z-score",,3
"ci4","Promising Prospects","composite_index",,"Local Authority","Barking and Dagenham","time_period","2018 to 2021","zscore_category","Top 15-30%",,,,,"2018 to 2021",0.519,,,,"z-score",,5
"ci4","Promising Prospects","composite_index",,"Local Authority","Barnet","time_period","2018 to 2021","zscore_category","Top 5%",,,,,"2018 to 2021",2.982,,,,"z-score",,7
"ci4","Promising Prospects","composite_index",,"Local Authority","Barnsley","time_period","2018 to 2021","zscore_category","Bottom 15-5%",,,,,"2018 to 2021",-1.451,,,,"z-score",,2
"ci4","Promising Prospects","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2018 to 2021","zscore_category","Top 15-30%",,,,,"2018 to 2021",0.506,,,,"z-score",,5
"ci4","Promising Prospects","composite_index",,"Local Authority","Bedford","time_period","2018 to 2021","zscore_category","Top 5%",,,,,"2018 to 2021",2.041,,,,"z-score",,7
"ci4","Promising Prospects","composite_index",,"Local Authority","Bexley","time_period","2018 to 2021","zscore_category","Top 5-15%",,,,,"2018 to 2021",1.154,,,,"z-score",,6
"ci4","Promising Prospects","composite_index",,"Local Authority","Birmingham","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",-0.312,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2018 to 2021","zscore_category","Bottom 30-15%",,,,,"2018 to 2021",-0.554,,,,"z-score",,3
"ci4","Promising Prospects","composite_index",,"Local Authority","Blackpool","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",-0.3,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Blaenau Gwent","time_period","2018 to 2021","zscore_category","Bottom 30-15%",,,,,"2018 to 2021",-0.906,,,,"z-score",,3
"ci4","Promising Prospects","composite_index",,"Local Authority","Bolton","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",-0.377,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Bournemouth, Christchurch and Poole","time_period","2018 to 2021","zscore_category","30-70%",,,,,"2018 to 2021",0.223,,,,"z-score",,4
"ci4","Promising Prospects","composite_index",,"Local Authority","Bracknell Forest","time_period","2018 to 2021","zscore_category","Top 15-30%",,,,,"2018 to 2021",0.646,,,,"z-score",,5
"ci4","Promising Prospects","composite_index",,"Local Authority","Bradford","time_period","2018 to 2021","zscore_category","Bottom 30-15%",,,,,"2018 to 2021",-0.987,,,,"z-score",,3
"ci4","Promising Prospects","composite_index",,"Local Authority","Brent","time_period","2018 to 2021","zscore_category","Top 5%",,,,,"2018 to 2021",2.826,,,,"z-score",,7
