"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Bedfordshire and Hertfordshire","area_name","Bedfordshire and Hertfordshire","quintile","5",NA,NA,NA,NA,"2014-2025",27.115,"26.181","28.050","1271","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","27%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile","5",NA,NA,NA,NA,"2014-2025",26.385,"25.651","27.118","1780","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","26%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Cheshire","area_name","Cheshire","quintile","4",NA,NA,NA,NA,"2014-2025",24.166,"23.137","25.194","760","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","24%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Cornwall and Isles of Scilly","area_name","Cornwall and Isles of Scilly","quintile","1",NA,NA,NA,NA,"2014-2025",17.603,"16.691","18.515","365","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","18%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Cumbria","area_name","Cumbria","quintile","1",NA,NA,NA,NA,"2014-2025",18.765,"17.745","19.784","350","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","19%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Derbyshire and Nottinghamshire","area_name","Derbyshire and Nottinghamshire","quintile","3",NA,NA,NA,NA,"2014-2025",20.379,"19.825","20.933","1515","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","20%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Devon","area_name","Devon","quintile","2",NA,NA,NA,NA,"2014-2025",19.728,"18.955","20.502","706","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","20%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","Dorset and Somerset","area_name","Dorset and Somerset","quintile","3",NA,NA,NA,NA,"2014-2025",20.665,"19.935","21.395","968","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","21%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","East Anglia","area_name","East Anglia","quintile","2",NA,NA,NA,NA,"2014-2025",19.832,"19.274","20.391","1780","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","20%"
"dr15","Estimated hourly pay for individuals with dependent children","geography",NA,"ITL2","East Wales","area_name","East Wales","quintile","2",NA,NA,NA,NA,"2014-2025",19.933,"19.109","20.756","688","£",NA,"payhour_inflation_adjusted, dependent_children","weighti","21-99","2014-2025","20%"
