Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
MO12,Relative occupational mobility,National,K02000001,United Kingdom,1991,NA,28-37,Total,NA,NA,5.34,NA,5.06,5.62,0.142857142857143,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,1991,NA,28-37,Men,NA,NA,5.91,NA,5.5,6.35,0.21683673469387746,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,1991,NA,28-37,Women,NA,NA,4.77,NA,4.42,5.16,0.1887755102040817,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,28-37,Total,NA,NA,3.94,NA,3.77,4.13,0.09183673469387751,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,28-37,Men,NA,NA,4.24,NA,3.98,4.53,0.14030612244897966,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,28-37,Women,NA,NA,3.65,NA,3.42,3.9,0.12244897959183673,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,28-37,Total,NA,NA,4.37,NA,4.13,4.62,0.12500000000000006,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,28-37,Men,NA,NA,4.5,NA,4.16,4.86,0.17857142857142863,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,28-37,Women,NA,NA,4.26,NA,3.92,4.63,0.18112244897959184,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,28-37,Total,NA,NA,3.55,NA,3.38,3.73,0.08928571428571432,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,28-37,Men,NA,NA,3.5,NA,3.26,3.75,0.12500000000000006,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,28-37,Women,NA,NA,3.67,NA,3.41,3.94,0.13520408163265302,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,38-47,Total,NA,NA,4.2,NA,4,4.42,0.10714285714285712,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,38-47,Men,NA,NA,4.62,NA,4.29,4.97,0.17346938775510198,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2001,NA,38-47,Women,NA,NA,3.85,NA,3.59,4.14,0.14030612244897955,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,38-47,Total,NA,NA,3.96,NA,3.77,4.16,0.09948979591836737,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,38-47,Men,NA,NA,4.26,NA,3.98,4.56,0.1479591836734693,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2011,NA,38-47,Women,NA,NA,3.65,NA,3.41,3.92,0.13010204081632648,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,38-47,Total,NA,NA,3.89,NA,3.67,4.12,0.11479591836734698,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,38-47,Men,NA,NA,4.15,NA,3.83,4.49,0.16836734693877556,Odds ratio,NA
MO12,Relative occupational mobility,National,K02000001,United Kingdom,2021,NA,38-47,Women,NA,NA,3.64,NA,3.35,3.96,0.15561224489795916,Odds ratio,NA
