Region,Index of 'conditions of childhood',Group
Aberdeen city,0.248990379,Middle Group
Aberdeenshire,0.636519825,Middle Group
Angus,0.049661534,Middle Group
Argyll and Bute Islands,-0.170762468,Middle Group
Barking and Dagenham,-1.033601305,Unfavourable
Barnet,1.227358831,Favourable
Barnsley,-1.10799468,Unfavourable
Bath and North East Somerset,1.283912757,Favourable
Bedford,0.88285291,Middle Group
Bexley,0.454005439,Middle Group
Birmingham,-1.436741114,Unfavourable
Blackburn with Darwen,-2.011362581,Least Favourable
Blackpool,-1.433665931,Unfavourable
Blaenau Gwent,-1.47370581,Unfavourable
Bolton,-0.880860143,Middle Group
"Bournemouth, Christchurch and Poole",0.58357147,Middle Group
Bracknell Forest,1.097777843,Favourable
Bradford,-1.488428472,Unfavourable
Brent,-0.242298478,Middle Group
Bridgend,-0.23555426,Middle Group
Brighton and Hove,1.71002584,Most Favourable
Bristol,0.926843861,Middle Group
Bromley,1.571952796,Favourable
Buckinghamshire,1.505771935,Favourable
Bury,0.400756194,Middle Group
Caerphilly,-0.728050861,Middle Group
Calderdale,-0.287342592,Middle Group
Cambridgeshire county council,0.909909578,Middle Group
Camden and City of London,1.160410467,Favourable
Cardiff,0.674664877,Middle Group
Carmarthenshire county council,-0.476677649,Middle Group
Central Bedfordshire,0.981872722,Middle Group
Ceredigion county council,-0.013096199,Middle Group
Cheshire East,0.9867598,Middle Group
Cheshire West and Chester,1.58009861,Favourable
Edinburgh city,1.565949458,Favourable
Clackmannanshire,-0.749955186,Middle Group
Conwy,-0.798223946,Middle Group
Cornwall and Isles of Scilly,-0.114798497,Middle Group
Coventry,-0.637740312,Middle Group
Croydon,0.344297992,Middle Group
Cumbria county council,-0.391426772,Middle Group
Darlington,-0.072744494,Middle Group
Denbighshire county council,-0.863654203,Middle Group
Derby,-0.397084373,Middle Group
Derbyshire county council,0.010064318,Middle Group
Devon county council,0.657273418,Middle Group
Doncaster,-1.294394978,Unfavourable
Dorset,0.425983492,Middle Group
Dudley,-0.819363551,Middle Group
Dumfries and Galloway,-0.329901602,Middle Group
Dundee city,-0.472353084,Middle Group
