"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group"
"Aberdeen City","0.208","Middling","0.521","Upper Middling","0.47","Middling","0.742","Upper Middling"
"Aberdeenshire","1.02","Favourable","-0.108","Middling","0.494","Middling","0.712","Upper Middling"
"Angus","-0.225","Middling","-0.082","Middling","0.042","Middling","-0.185","Middling"
"Argyll and Bute Islands","-0.911","Lower Middling","0.213","Middling","0.23","Middling","-0.132","Middling"
"Barking and Dagenham","-0.855","Lower Middling","-1.084","Unfavourable","-1.065","Unfavourable","-1.133","Unfavourable"
"Barnet","1.367","Favourable","1.722","Most Favourable","1.826","Most Favourable","1.789","Most Favourable"
"Barnsley","-1.249","Unfavourable","-1.243","Unfavourable","-1.096","Unfavourable","-1.361","Unfavourable"
"Bath and North East Somerset","1.444","Favourable","1.167","Favourable","1.4","Favourable","1.598","Most Favourable"
"Bedford","0.496","Middling","1.048","Favourable","0.57","Upper Middling","0.595","Upper Middling"
"Bexley","0.53","Upper Middling","0.091","Middling","0.362","Middling","0.175","Middling"
"Birmingham","-0.818","Lower Middling","-1.13","Unfavourable","-1.158","Unfavourable","-0.82","Lower Middling"
"Blackburn with Darwen","-2.14","Least Favourable","-1.059","Unfavourable","-1.16","Unfavourable","-1.167","Unfavourable"
"Blackpool","-1.004","Unfavourable","-1.57","Least Favourable","-1.363","Unfavourable","-0.852","Lower Middling"
"Blaenau Gwent","-1.233","Unfavourable","-1.595","Least Favourable","-1.788","Least Favourable","-1.961","Least Favourable"
"Bolton","-0.865","Lower Middling","-0.564","Lower Middling","-0.552","Lower Middling","0.133","Middling"
"Bournemouth, Christchurch and Poole","0.288","Middling","0.211","Middling","-0.15","Middling","-0.142","Middling"
"Bracknell Forest","0.768","Upper Middling","0.544","Upper Middling","0.955","Upper Middling","1.368","Favourable"
"Bradford","-1.065","Unfavourable","-1.032","Unfavourable","-0.933","Lower Middling","-0.777","Lower Middling"
"Brent","-0.094","Middling","0.285","Middling","-0.35","Middling","0.044","Middling"
"Bridgend","-0.461","Middling","-0.225","Middling","-0.458","Middling","-0.865","Lower Middling"
"Brighton and Hove","1.241","Favourable","1.408","Favourable","1.367","Favourable","1.517","Most Favourable"
"Bristol, City of","0.984","Upper Middling","0.524","Upper Middling","0.673","Upper Middling","0.314","Middling"
"Bromley","1.602","Most Favourable","1.775","Most Favourable","1.634","Most Favourable","1.478","Favourable"
"Buckinghamshire","1.48","Favourable","1.667","Most Favourable","1.999","Most Favourable","1.999","Most Favourable"
"Bury","0.267","Middling","0.4","Middling","0.313","Middling","0.037","Middling"
"Caerphilly","-0.844","Lower Middling","-0.946","Lower Middling","-0.96","Lower Middling","-1.059","Unfavourable"
"Calderdale","-0.276","Middling","-0.26","Middling","0.059","Middling","-0.189","Middling"
"Cambridgeshire CC","0.832","Upper Middling","0.921","Upper Middling","1.286","Favourable","1.122","Favourable"
"Camden and City of London","2.137","Most Favourable","2.178","Most Favourable","2.475","Most Favourable","1.453","Favourable"
"Cardiff","0.891","Upper Middling","0.626","Upper Middling","0.638","Upper Middling","0.598","Upper Middling"
"Carmarthenshire","-0.411","Middling","-0.696","Lower Middling","-0.022","Middling","-0.282","Middling"
"Central Bedfordshire","0.817","Upper Middling","0.513","Upper Middling","0.693","Upper Middling","0.718","Upper Middling"
"Ceredigion","-0.115","Middling","-0.575","Lower Middling","-0.567","Lower Middling","-0.388","Middling"
"Cheshire East","0.613","Upper Middling","1.225","Favourable","1.262","Favourable","1.128","Favourable"
"Cheshire West and Chester","1.608","Most Favourable","0.704","Upper Middling","0.574","Upper Middling","0.587","Upper Middling"
"City of Edinburgh","1.521","Most Favourable","1.724","Most Favourable","1.55","Most Favourable","1.687","Most Favourable"
"Clackmannanshire","-0.81","Lower Middling","-0.667","Lower Middling","-0.441","Middling","-0.131","Middling"
"Conwy","-1.033","Unfavourable","-0.86","Lower Middling","-0.401","Middling","-0.292","Middling"
