"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Aberdeen City","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.742,,,,"z-score",,5
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Aberdeenshire","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.712,,,,"z-score",,5
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Angus","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.185,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.132,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Barking and Dagenham","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.133,,,,"z-score",,2
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Barnet","time_period","2000 to 2005","zscore_category","Most Favourable",,,,,"2000 to 2005",1.789,,,,"z-score",,7
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Barnsley","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.361,,,,"z-score",,2
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2000 to 2005","zscore_category","Most Favourable",,,,,"2000 to 2005",1.598,,,,"z-score",,7
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bedford","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.595,,,,"z-score",,5
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bexley","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.175,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Birmingham","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.82,,,,"z-score",,3
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.167,,,,"z-score",,2
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Blackpool","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.852,,,,"z-score",,3
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Blaenau Gwent","time_period","2000 to 2005","zscore_category","Least Favourable",,,,,"2000 to 2005",-1.961,,,,"z-score",,1
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bolton","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.133,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bournemouth, Christchurch and Poole","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.142,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bracknell Forest","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.368,,,,"z-score",,6
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bradford","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.777,,,,"z-score",,3
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Brent","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.044,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bridgend","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.865,,,,"z-score",,3
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Brighton and Hove","time_period","2000 to 2005","zscore_category","Most Favourable",,,,,"2000 to 2005",1.517,,,,"z-score",,7
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bristol, City of","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.314,,,,"z-score",,4
"ci1","Conditions of Childhood","composite_index",,"Local Authority","Bromley","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.478,,,,"z-score",,6
