"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci3","Innovation and Growth","composite_index",,"Local Authority","Aberdeen City","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.12,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Aberdeenshire","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.17,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Angus","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.705,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.306,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barking and Dagenham","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.775,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barnet","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.411,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barnsley","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.069,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2012 to 2017","zscore_category","Upper Middling",,,,,"2012 to 2017",0.788,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bedford","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.415,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bexley","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.143,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Birmingham","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.428,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.756,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blackpool","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.849,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blaenau Gwent","time_period","2012 to 2017","zscore_category","Least Favourable",,,,,"2012 to 2017",-1.52,,,,"z-score",,1
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bolton","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.567,,,,"z-score",,3
