ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,group
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,171,Aberdeen City,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.147281927,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,172,Aberdeenshire,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.576791067,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,173,Angus,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.951929528,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,174,Argyll and Bute Islands,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.115419953,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,16,Barking and Dagenham,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.632140385,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,26,Barnet,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.440427397,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,73,Barnsley,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.529295083,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,137,Bath and North East Somerset,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.23975596,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,112,Bedford,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.944797657,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_labour_market,Labour market opportunities for young people,SMC georgraphy,14,Bexley,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.228211765,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
