"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group"
"Aberdeen City","-0.098","Middling","0.856","Upper Middling","0.485","Middling","0.668","Upper Middling"
"Aberdeenshire","-0.897","Lower Middling","-0.014","Middling","-0.241","Middling","-0.876","Lower Middling"
"Angus","-0.978","Lower Middling","-0.455","Middling","-1.341","Unfavourable","-0.87","Lower Middling"
"Argyll and Bute Islands","-1.193","Unfavourable","-1.146","Unfavourable","-0.255","Middling","-0.742","Lower Middling"
"Barking and Dagenham","0.41","Middling","-0.054","Middling","0.113","Middling","0.032","Middling"
"Barnet","0.311","Middling","1.083","Favourable","1.577","Most Favourable","1.4","Favourable"
"Barnsley","-0.465","Middling","-0.172","Middling","-0.302","Middling","-0.403","Middling"
"Bath and North East Somerset","0.132","Middling","-0.292","Middling","-0.608","Lower Middling","0.173","Middling"
"Bedford","0.776","Upper Middling","0.206","Middling","0.499","Middling","0.026","Middling"
"Bexley","0.836","Upper Middling","0.21","Middling","0.597","Upper Middling","0.792","Upper Middling"
"Birmingham","-0.562","Lower Middling","-0.901","Lower Middling","-0.566","Lower Middling","-0.289","Middling"
"Blackburn with Darwen","-0.545","Lower Middling","-0.55","Lower Middling","-0.81","Lower Middling","-0.671","Lower Middling"
"Blackpool","-0.266","Middling","-0.475","Middling","-0.645","Lower Middling","-0.645","Lower Middling"
"Blaenau Gwent","-0.788","Lower Middling","-1.336","Unfavourable","-1.263","Unfavourable","-1.162","Unfavourable"
"Bolton","-0.624","Lower Middling","-0.535","Lower Middling","-0.208","Middling","-0.211","Middling"
"Bournemouth, Christchurch and Poole","-0.161","Middling","-0.215","Middling","0.503","Upper Middling","0.089","Middling"
"Bracknell Forest","1.317","Favourable","1.069","Favourable","1.24","Favourable","1.498","Favourable"
"Bradford","-0.625","Lower Middling","-0.765","Lower Middling","-0.444","Middling","-0.641","Lower Middling"
"Brent","0.243","Middling","0.463","Middling","0.596","Upper Middling","0.645","Upper Middling"
"Bridgend","-0.968","Lower Middling","-0.503","Lower Middling","-0.638","Lower Middling","-0.961","Lower Middling"
"Brighton and Hove","-0.232","Middling","0.357","Middling","0.227","Middling","0.205","Middling"
"Bristol, City of","1.249","Favourable","1.31","Favourable","1.358","Favourable","0.803","Upper Middling"
"Bromley","1.146","Favourable","2.248","Most Favourable","1.943","Most Favourable","1.646","Most Favourable"
"Buckinghamshire","0.287","Middling","0.665","Upper Middling","0.324","Middling","0.565","Upper Middling"
"Bury","0.05","Middling","0.221","Middling","0.153","Middling","0.328","Middling"
"Caerphilly","-0.809","Lower Middling","-0.734","Lower Middling","-0.298","Middling","-0.949","Lower Middling"
"Calderdale","-0.27","Middling","-0.244","Middling","-0.424","Middling","-0.273","Middling"
"Cambridgeshire CC","0.014","Middling","0.762","Upper Middling","0.754","Upper Middling","0.745","Upper Middling"
"Camden and City of London","2.737","Most Favourable","1.685","Most Favourable","3.358","Most Favourable","2.184","Most Favourable"
"Cardiff","0.248","Middling","-0.204","Middling","0.694","Upper Middling","0.567","Upper Middling"
"Carmarthenshire","-0.867","Lower Middling","-1.101","Unfavourable","-1.389","Unfavourable","-0.99","Lower Middling"
"Central Bedfordshire","0.735","Upper Middling","1.153","Favourable","0.347","Middling","0.571","Upper Middling"
"Ceredigion","-0.647","Lower Middling","-1.36","Unfavourable","-1.445","Unfavourable","-1.309","Unfavourable"
"Cheshire East","-0.157","Middling","-0.188","Middling","-0.128","Middling","0.381","Middling"
"Cheshire West and Chester","0.048","Middling","0.151","Middling","-0.433","Middling","0.365","Middling"
"City of Edinburgh","0.635","Upper Middling","1.163","Favourable","0.774","Upper Middling","0.956","Upper Middling"
"Clackmannanshire","-0.744","Lower Middling","-0.475","Middling","-0.682","Lower Middling","-0.579","Lower Middling"
"Conwy","-0.473","Middling","-1.366","Unfavourable","-0.921","Lower Middling","-0.957","Lower Middling"
"Cornwall and Isles of Scilly","-1.062","Unfavourable","-0.871","Lower Middling","-0.917","Lower Middling","-1.251","Unfavourable"
"Coventry","-0.381","Middling","-0.739","Lower Middling","-0.517","Lower Middling","-0.261","Middling"
"Croydon","0.613","Upper Middling","0.237","Middling","1.061","Favourable","1.034","Favourable"
"Cumbria","-0.618","Lower Middling","-0.34","Middling","-0.576","Lower Middling","-0.879","Lower Middling"
"Darlington","-0.712","Lower Middling","-0.358","Middling","-0.654","Lower Middling","-0.816","Lower Middling"
"Denbighshire","-0.975","Lower Middling","-1.078","Unfavourable","-0.94","Lower Middling","-0.753","Lower Middling"
"Derby","-0.079","Middling","0.305","Middling","0.254","Middling","0.107","Middling"
"Derbyshire","-0.111","Middling","0.021","Middling","-0.302","Middling","-0.665","Lower Middling"
"Devon CC","-0.684","Lower Middling","-0.733","Lower Middling","-0.688","Lower Middling","-0.487","Middling"
"Doncaster","-0.783","Lower Middling","-0.715","Lower Middling","-0.399","Middling","-0.614","Lower Middling"
"Dorset","0.305","Middling","-0.201","Middling","-0.307","Middling","-0.574","Lower Middling"
"Dudley","-0.313","Middling","-0.658","Lower Middling","0.11","Middling","-0.099","Middling"
"Dumfries and Galloway","-0.938","Lower Middling","-1.345","Unfavourable","-1.344","Unfavourable","-0.957","Lower Middling"
"Dundee City","-1.069","Unfavourable","-0.281","Middling","-0.188","Middling","-0.985","Lower Middling"
"Durham","-1.113","Unfavourable","-0.939","Lower Middling","-0.543","Lower Middling","-1.203","Unfavourable"
"Ealing","1.683","Most Favourable","0.523","Upper Middling","0.648","Upper Middling","1.453","Favourable"
"East Ayrshire","-0.643","Lower Middling","-1.18","Unfavourable","-1.322","Unfavourable","-1.002","Unfavourable"
"East Dunbartonshire","-0.718","Lower Middling","0.336","Middling","-0.82","Lower Middling","0.271","Middling"
"East Lothian","-0.812","Lower Middling","-0.721","Lower Middling","-0.442","Middling","-0.799","Lower Middling"
"East Renfrewshire","-0.554","Lower Middling","-0.582","Lower Middling","-0.95","Lower Middling","0.532","Upper Middling"
"East Riding of Yorkshire","-0.281","Middling","-1.041","Unfavourable","-0.459","Middling","-0.708","Lower Middling"
"East Sussex CC","-0.563","Lower Middling","-0.602","Lower Middling","-0.344","Middling","-0.498","Middling"
"Enfield","0.376","Middling","-0.472","Middling","-0.145","Middling","0.57","Upper Middling"
"Essex","0.715","Upper Middling","0.614","Upper Middling","0.497","Middling","0.872","Upper Middling"
"Falkirk","-0.585","Lower Middling","-0.376","Middling","0.595","Upper Middling","-0.222","Middling"
"Fife","-1.11","Unfavourable","-0.54","Lower Middling","-0.702","Lower Middling","-0.732","Lower Middling"
"Flintshire","-0.455","Middling","-0.574","Lower Middling","0.171","Middling","0.179","Middling"
"Gateshead","-0.594","Lower Middling","0.495","Middling","0.249","Middling","-0.17","Middling"
"Glasgow City","0.62","Upper Middling","0.744","Upper Middling","-0.092","Middling","0.119","Middling"
"Gloucestershire CC","0.186","Middling","-0.051","Middling","0.124","Middling","-0.122","Middling"
"Greenwich","1.412","Favourable","0.667","Upper Middling","1.365","Favourable","1.113","Favourable"
"Gwynedd","-0.873","Lower Middling","-0.42","Middling","-0.809","Lower Middling","-1.048","Unfavourable"
"Hackney","2.468","Most Favourable","1.92","Most Favourable","1.229","Favourable","0.605","Upper Middling"
"Halton","0.027","Middling","-0.361","Middling","0.099","Middling","-0.635","Lower Middling"
"Hammersmith and Fulham","3.774","Most Favourable","2.64","Most Favourable","3.944","Most Favourable","3.605","Most Favourable"
"Hampshire","-0.019","Middling","0.471","Middling","0.317","Middling","0.465","Middling"
"Haringey","1.238","Favourable","1.23","Favourable","0.703","Upper Middling","1.474","Favourable"
"Harrow","0.087","Middling","1.002","Favourable","1.361","Favourable","1.376","Favourable"
"Hartlepool","-0.834","Lower Middling","-1.249","Unfavourable","-0.401","Middling","-1.081","Unfavourable"
"Havering","1.254","Favourable","1.331","Favourable","1.194","Favourable","1.547","Most Favourable"
"Herefordshire, County of","-0.499","Middling","-0.625","Lower Middling","-0.563","Lower Middling","-0.646","Lower Middling"
"Hertfordshire CC","0.696","Upper Middling","1.528","Most Favourable","1.079","Favourable","1.408","Favourable"
"Highland","-0.916","Lower Middling","-0.969","Lower Middling","-0.94","Lower Middling","-0.858","Lower Middling"
"Hillingdon","0.214","Middling","0.549","Upper Middling","0.675","Upper Middling","1.065","Favourable"
"Hounslow","0.827","Upper Middling","0.655","Upper Middling","0.81","Upper Middling","0.868","Upper Middling"
"Inverclyde","-0.626","Lower Middling","0.238","Middling","-0.575","Lower Middling","-0.631","Lower Middling"
"Isle of Anglesey","-0.939","Lower Middling","-0.703","Lower Middling","-0.885","Lower Middling","-1.325","Unfavourable"
"Isle of Wight","-0.651","Lower Middling","-1.356","Unfavourable","-0.889","Lower Middling","-0.82","Lower Middling"
"Islington","2.911","Most Favourable","3.274","Most Favourable","2.633","Most Favourable","2.304","Most Favourable"
"Kensington and Chelsea","1.886","Most Favourable","1.706","Most Favourable","3.449","Most Favourable","2.871","Most Favourable"
"Kent","-0.601","Lower Middling","-0.149","Middling","-0.313","Middling","0.101","Middling"
"Kingston upon Hull, City of","-0.928","Lower Middling","-0.52","Lower Middling","-1.277","Unfavourable","-1.279","Unfavourable"
"Kingston upon Thames","0.762","Upper Middling","0.121","Middling","0.594","Upper Middling","1.723","Most Favourable"
"Kirklees","-0.177","Middling","-0.664","Lower Middling","-0.509","Lower Middling","-0.19","Middling"
"Knowsley","-0.732","Lower Middling","-0.644","Lower Middling","-0.669","Lower Middling","-0.673","Lower Middling"
"Lambeth","4.134","Most Favourable","4.191","Most Favourable","2.849","Most Favourable","2.168","Most Favourable"
"Lancashire","-0.748","Lower Middling","-0.305","Middling","-0.566","Lower Middling","-0.324","Middling"
"Leeds","0.706","Upper Middling","0.512","Upper Middling","0.207","Middling","0.056","Middling"
"Leicester","-0.304","Middling","-0.652","Lower Middling","-0.983","Lower Middling","-0.742","Lower Middling"
"Leicestershire CC","-0.008","Middling","0.296","Middling","-0.112","Middling","-0.148","Middling"
"Lewisham","3.097","Most Favourable","2.561","Most Favourable","1.026","Favourable","1.568","Most Favourable"
"Lincolnshire CC","-0.934","Lower Middling","-0.643","Lower Middling","-0.825","Lower Middling","-1.026","Unfavourable"
"Liverpool","0.145","Middling","-0.896","Lower Middling","-0.49","Middling","-0.653","Lower Middling"
