"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",1997,"Total",NA,"Total","Median hourly pay",NA,NA,NA,4.01,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",1998,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.99,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",1999,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.99,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2000,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.96,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2001,"Total",NA,"Total","Median hourly pay",NA,NA,NA,4.03,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2002,"Total",NA,"Total","Median hourly pay",NA,NA,NA,4.02,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2003,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.98,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2004,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.96,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2005,"Total",NA,"Total","Median hourly pay",NA,NA,NA,4,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2006,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.97,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2007,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.93,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2008,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.95,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2009,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.95,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2010,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.96,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2011,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.96,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2012,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.86,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2013,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.86,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2014,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.82,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2015,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.73,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2016,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.62,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2017,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.57,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2018,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.54,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2019,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.46,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2020,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.41,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2021,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.27,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2022,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.1,NA,NA,NA,NA,"Median",NA
"DR11","Distribution of earnings","Country","K02000001","United Kingdom",2023,"Total",NA,"Total","Median hourly pay",NA,NA,NA,3.03,NA,NA,NA,NA,"Median",NA
