"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1997,,,,,,,"1997-2024",4.013,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1998,,,,,,,"1997-2024",3.99,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1999,,,,,,,"1997-2024",3.993,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2000,,,,,,,"1997-2024",3.961,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2001,,,,,,,"1997-2024",4.033,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2002,,,,,,,"1997-2024",4.019,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2003,,,,,,,"1997-2024",3.978,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2004,,,,,,,"1997-2024",3.956,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2005,,,,,,,"1997-2024",3.996,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2006,,,,,,,"1997-2024",3.97,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2007,,,,,,,"1997-2024",3.93,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2008,,,,,,,"1997-2024",3.945,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2009,,,,,,,"1997-2024",3.948,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2010,,,,,,,"1997-2024",3.963,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2011,,,,,,,"1997-2024",3.962,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2012,,,,,,,"1997-2024",3.864,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2013,,,,,,,"1997-2024",3.863,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2014,,,,,,,"1997-2024",3.821,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2015,,,,,,,"1997-2024",3.725,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2016,,,,,,,"1997-2024",3.621,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2017,,,,,,,"1997-2024",3.568,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2018,,,,,,,"1997-2024",3.54,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2019,,,,,,,"1997-2024",3.456,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2020,,,,,,,"1997-2024",3.407,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2021,,,,,,,"1997-2024",3.268,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2022,,,,,,,"1997-2024",3.098,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2023,,,,,,,"1997-2024",3.03,,,,"Percent",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2024,,,,,,,"1997-2024",2.985,,,,"Percent",,
