year,ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
NA,DR13,Distribution of parental education,ITL2,TLH2,Cornwall and Isles of Scilly,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,27.49343893,1256,25.02419248,29.96268538,1.259819618,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Devon,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,33.35464374,2865,31.6281824,35.08110508,0.880847623,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Dorset and Somerset,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,32.64781699,3535,31.10197794,34.19365604,0.788693393,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Gloucestershire, Wiltshire and Bath/Bristol area",2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,38.61156152,6074,37.38716904,39.835954,0.624690041,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Hampshire and Isle of Wight,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,35.94220088,4973,34.60857141,37.27583034,0.680423196,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Surrey, East and West Sussex",2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,41.94336085,6948,40.78302496,43.10369674,0.592008107,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Kent,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,32.43587665,4174,31.01567262,33.85608069,0.724593895,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - South,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,49.03296583,3441,47.36263499,50.70329666,0.852209608,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - East and North East,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,41.123875,4656,39.71047134,42.53727865,0.721124314,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - East,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,46.9514438,4454,45.48575346,48.41713414,0.747801193,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - West,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,65.25942162,1756,63.0323512,67.48649203,1.136260414,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - West and North West,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,50.56299151,4913,49.1649336,51.96104942,0.713294852,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Berkshire, Buckinghamshire and Oxfordshire",2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,49.02865548,6785,47.83914251,50.21816845,0.606894373,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Bedfordshire and Hertfordshire,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,39.45921038,4936,38.09567399,40.82274677,0.69568183,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Essex,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,28.65338908,4302,27.30226404,30.00451411,0.689349507,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Herefordshire, Worcestershire and Warwickshire",2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,35.5436356,3844,34.03049875,37.05677245,0.772008598,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Midlands,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,27.93543492,6926,26.87873072,28.99213911,0.539134793,Percentage,NA
