"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2014",NA,NA,"2014-2022",26.493,25.922,27.073,"22753","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","26%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2015",NA,NA,"2014-2022",25.32,24.746,25.902,"21892","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2016",NA,NA,"2014-2022",25.328,24.74,25.921,"21010","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2017",NA,NA,"2014-2022",25.393,24.799,25.994,"20554","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2018",NA,NA,"2014-2022",25.094,24.5,25.7,"20239","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2019",NA,NA,"2014-2022",25.059,24.463,25.663,"20217","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2020",NA,NA,"2014-2022",24.778,24.089,25.486,"14822","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2021",NA,NA,"2014-2022",23.432,22.818,24.053,"18216","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","23%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","A level and equivalent","year","2022",NA,NA,"2014-2022",19.065,18.418,19.73,"13931","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","19%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2014",NA,NA,"2014-2022",29.653,29.061,30.252,"22753","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","30%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2015",NA,NA,"2014-2022",31.618,31.004,32.24,"21892","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","32%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2016",NA,NA,"2014-2022",33.289,32.652,33.932,"21010","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","33%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2017",NA,NA,"2014-2022",34.075,33.429,34.729,"20554","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","34%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2018",NA,NA,"2014-2022",35.143,34.488,35.808,"20239","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","35%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2019",NA,NA,"2014-2022",35.997,35.338,36.666,"20217","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","36%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2020",NA,NA,"2014-2022",39.255,38.466,40.045,"14822","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","39%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2021",NA,NA,"2014-2022",41.474,40.758,42.194,"18216","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","41%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Degree level or above","year","2022",NA,NA,"2014-2022",42.088,41.265,42.911,"13931","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","42%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2014",NA,NA,"2014-2022",10.31,9.92,10.715,"22753","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","10%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2015",NA,NA,"2014-2022",10.338,9.939,10.75,"21892","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","10%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2016",NA,NA,"2014-2022",10.027,9.627,10.444,"21010","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","10%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2017",NA,NA,"2014-2022",9.962,9.56,10.383,"20554","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","10%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2018",NA,NA,"2014-2022",9.203,8.812,9.614,"20239","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","9%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2019",NA,NA,"2014-2022",9.298,8.904,9.71,"20217","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","9%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2020",NA,NA,"2014-2022",9.273,8.81,9.751,"14822","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","9%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2021",NA,NA,"2014-2022",8.65,8.249,9.072,"18216","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","9%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Further education below degree","year","2022",NA,NA,"2014-2022",8.097,7.652,8.565,"13931","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","8%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2014",NA,NA,"2014-2022",17.241,16.754,17.74,"22753","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","17%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2015",NA,NA,"2014-2022",16.896,16.404,17.401,"21892","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","17%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2016",NA,NA,"2014-2022",16.377,15.881,16.887,"21010","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2017",NA,NA,"2014-2022",15.84,15.346,16.349,"20554","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2018",NA,NA,"2014-2022",15.804,15.308,16.318,"20239","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2019",NA,NA,"2014-2022",15.917,15.417,16.431,"20217","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2020",NA,NA,"2014-2022",13.395,12.85,13.953,"14822","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","13%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2021",NA,NA,"2014-2022",13.494,13.002,14,"18216","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","13%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2022",NA,NA,"2014-2022",13.493,12.934,14.076,"13931","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","13%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2014",NA,NA,"2014-2022",16.304,15.829,16.793,"22753","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2015",NA,NA,"2014-2022",15.828,15.348,16.32,"21892","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","16%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2016",NA,NA,"2014-2022",14.979,14.5,15.47,"21010","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","15%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2017",NA,NA,"2014-2022",14.731,14.252,15.226,"20554","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","15%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2018",NA,NA,"2014-2022",14.757,14.274,15.256,"20239","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","15%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2019",NA,NA,"2014-2022",13.729,13.261,14.215,"20217","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","14%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2020",NA,NA,"2014-2022",13.299,12.757,13.857,"14822","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","13%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2021",NA,NA,"2014-2022",12.95,12.468,13.448,"18216","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","13%"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2022",NA,NA,"2014-2022",17.257,16.635,17.897,"13931","Percent",NA,"degree_dependent_children, year","rweight","21-81","2014-2022","17%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","2","2014-2022",21.233,20.109,22.357,"5085","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","21%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Berkshire, Buckinghamshire and Oxfordshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","1","2014-2022",19.683,18.739,20.628,"6807","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","20%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Cheshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","2","2014-2022",20.996,19.497,22.496,"2835","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","21%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Cornwall and Isles of Scilly","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","5","2014-2022",31.053,28.803,33.302,"1626","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","31%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Cumbria","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","5","2014-2022",33.607,31.035,36.18,"1295","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","34%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Derbyshire and Nottinghamshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","4","2014-2022",28.007,26.815,29.199,"5449","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","28%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Devon","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","4","2014-2022",29.536,27.913,31.159,"3036","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","30%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Dorset and Somerset","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","4","2014-2022",28.469,26.982,29.957,"3536","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","28%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","East Anglia","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",27.012,25.956,28.069,"6791","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","27%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","East Wales","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","2","2014-2022",24.235,22.68,25.79,"2918","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","24%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","East Yorkshire and Northern Lincolnshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","5","2014-2022",31.637,29.768,33.507,"2377","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","32%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Eastern Scotland","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","1","2014-2022",20.283,19.149,21.416,"4834","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","20%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Essex","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",25.684,24.43,26.938,"4662","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","26%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",25.923,24.904,26.942,"7101","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","26%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Greater Manchester","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",26.212,25.209,27.214,"7394","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","26%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Hampshire and Isle of Wight","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",26.994,25.782,28.205,"5158","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","27%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Herefordshire, Worcestershire and Warwickshire","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",25.395,24.016,26.773,"3831","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","25%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Highlands and Islands","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","2","2014-2022",20.75,17.951,23.55,"806","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","21%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Inner London - East","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","1","2014-2022",15.434,14.372,16.497,"4443","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","15%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Inner London - West","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","1","2014-2022",12.336,10.794,13.878,"1748","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","12%"
"dr13","Distribution of parental education","geography_caterpillar","TLH2","ITL2","Kent","degree_dependent_children","A level and equivalent","itl2_current_geo",NA,"quintile","3","2014-2022",27.775,26.417,29.134,"4176","Percent",NA,"degree_dependent_children, itl2_current_geo","rweight","21-81","2014-2022","28%"
