"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2014",,,,,"2014-2024",17.241,16.754,17.74,22753,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2015",,,,,"2014-2024",16.896,16.404,17.401,21892,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2016",,,,,"2014-2024",16.377,15.881,16.887,21010,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2017",,,,,"2014-2024",15.84,15.346,16.349,20554,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2018",,,,,"2014-2024",15.804,15.308,16.318,20239,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2019",,,,,"2014-2024",15.917,15.417,16.431,20217,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2020",,,,,"2014-2024",13.395,12.85,13.953,14822,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2021",,,,,"2014-2024",13.494,13.002,14,18216,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2022",,,,,"2014-2024",13.493,12.934,14.076,13931,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2023",,,,,"2014-2024",12.35,11.663,13.063,8626,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","Lower level (below GCSE grade 1)","year","2024",,,,,"2014-2024",12.095,11.534,12.681,12599,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2014",,,,,"2014-2024",16.304,15.829,16.793,22753,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2015",,,,,"2014-2024",15.828,15.348,16.32,21892,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2016",,,,,"2014-2024",14.979,14.5,15.47,21010,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2017",,,,,"2014-2024",14.731,14.252,15.226,20554,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2018",,,,,"2014-2024",14.757,14.274,15.256,20239,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2019",,,,,"2014-2024",13.729,13.261,14.215,20217,"Percent",
"dr13","Distribution of parental education","trend","K02000001","country","United Kingdom","degree_dependent_children","O level, GCSE and equivalent","year","2020",,,,,"2014-2024",13.299,12.757,13.857,14822,"Percent",
