"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2014",NA,NA,"2014-2022",14.056,13.611,14.518,"22812","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","14%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2015",NA,NA,"2014-2022",14.603,14.141,15.079,"21994","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2016",NA,NA,"2014-2022",15.509,15.024,16.006,"21078","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2017",NA,NA,"2014-2022",15.48,14.991,15.983,"20619","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2018",NA,NA,"2014-2022",15.957,15.459,16.471,"20321","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2019",NA,NA,"2014-2022",16.58,16.073,17.102,"20282","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2020",NA,NA,"2014-2022",18.345,17.727,18.978,"14860","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","18%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2021",NA,NA,"2014-2022",19.748,19.173,20.332,"18272","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","20%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher professional","year","2022",NA,NA,"2014-2022",20.062,19.403,20.737,"14002","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","20%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2014",NA,NA,"2014-2022",24.601,24.044,25.166,"22812","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","25%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2015",NA,NA,"2014-2022",24.09,23.526,24.66,"21994","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","24%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2016",NA,NA,"2014-2022",24.334,23.757,24.92,"21078","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","24%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2017",NA,NA,"2014-2022",25.246,24.653,25.844,"20619","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","25%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2018",NA,NA,"2014-2022",25.651,25.05,26.256,"20321","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","26%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2019",NA,NA,"2014-2022",26.079,25.475,26.689,"20282","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","26%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2020",NA,NA,"2014-2022",26.816,26.107,27.539,"14860","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","27%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2021",NA,NA,"2014-2022",26.073,25.438,26.717,"18272","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","26%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower professional","year","2022",NA,NA,"2014-2022",26.733,26.002,27.475,"14002","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","27%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2014",NA,NA,"2014-2022",21.177,20.65,21.715,"22812","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","21%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2015",NA,NA,"2014-2022",21.426,20.885,21.974,"21994","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","21%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2016",NA,NA,"2014-2022",21.85,21.297,22.418,"21078","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2017",NA,NA,"2014-2022",21.921,21.36,22.494,"20619","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2018",NA,NA,"2014-2022",21.689,21.123,22.261,"20321","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2019",NA,NA,"2014-2022",21.75,21.184,22.324,"20282","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2020",NA,NA,"2014-2022",21.52,20.864,22.192,"14860","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2021",NA,NA,"2014-2022",21.731,21.138,22.339,"18272","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Intermediate","year","2022",NA,NA,"2014-2022",19.88,19.227,20.556,"14002","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","20%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2014",NA,NA,"2014-2022",18.877,18.371,19.391,"22812","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2015",NA,NA,"2014-2022",19.059,18.544,19.587,"21994","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2016",NA,NA,"2014-2022",19.212,18.686,19.754,"21078","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2017",NA,NA,"2014-2022",18.694,18.168,19.237,"20619","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2018",NA,NA,"2014-2022",18.024,17.501,18.563,"20321","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","18%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2019",NA,NA,"2014-2022",17.308,16.789,17.835,"20282","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2020",NA,NA,"2014-2022",16.944,16.347,17.56,"14860","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2021",NA,NA,"2014-2022",13.274,12.785,13.774,"18272","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","13%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Higher working","year","2022",NA,NA,"2014-2022",13.575,13.016,14.158,"14002","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","14%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2014",NA,NA,"2014-2022",21.288,20.759,21.825,"22812","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","21%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2015",NA,NA,"2014-2022",20.823,20.29,21.368,"21994","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","21%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2016",NA,NA,"2014-2022",19.094,18.568,19.634,"21078","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2017",NA,NA,"2014-2022",18.659,18.129,19.198,"20619","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2018",NA,NA,"2014-2022",18.679,18.148,19.224,"20321","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2019",NA,NA,"2014-2022",18.283,17.754,18.823,"20282","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","18%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2020",NA,NA,"2014-2022",16.375,15.783,16.98,"14860","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2021",NA,NA,"2014-2022",19.174,18.604,19.751,"18272","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","trend","K02000001","country","United Kingdom","sec_dependent_children","Lower working","year","2022",NA,NA,"2014-2022",19.749,19.093,20.418,"14002","Percent",NA,"sec_dependent_children, year","rweight","21-99","2014-2022","20%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",21.569,20.44,22.698,"5098","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","22%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",24.202,23.186,25.218,"6830","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","24%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Cheshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",24.072,22.501,25.644,"2844","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","24%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Cornwall and Isles of Scilly","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","1","2014-2022",12.282,10.692,13.873,"1637","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","12%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Cumbria","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","1","2014-2022",11.601,9.858,13.343,"1298","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","12%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Derbyshire and Nottinghamshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.099,14.15,16.048,"5468","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Devon","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",14.842,13.581,16.103,"3053","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Dorset and Somerset","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.573,14.38,16.766,"3551","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","East Anglia","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.924,15.056,16.793,"6817","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","East Wales","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.213,13.912,16.514,"2927","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","East Yorkshire and Northern Lincolnshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","1","2014-2022",9.886,8.688,11.084,"2383","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","10%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Eastern Scotland","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",17.031,15.972,18.09,"4843","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Essex","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",16.372,15.312,17.432,"4681","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",20.826,19.883,21.769,"7124","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","21%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Greater Manchester","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","2","2014-2022",14.837,14.028,15.646,"7417","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Hampshire and Isle of Wight","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",19.181,18.109,20.254,"5175","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Herefordshire, Worcestershire and Warwickshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",18.894,17.657,20.131,"3845","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Highlands and Islands","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","1","2014-2022",11.482,9.293,13.671,"815","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","11%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Inner London - East","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",18.053,16.925,19.182,"4464","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","18%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Inner London - West","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",29.683,27.546,31.819,"1756","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","30%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Kent","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",16.593,15.466,17.719,"4188","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Lancashire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","1","2014-2022",12.306,11.282,13.33,"3954","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","12%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Leicestershire, Rutland and Northamptonshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.535,14.555,16.514,"5253","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","16%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Lincolnshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","2","2014-2022",12.484,11.03,13.939,"1983","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","12%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Merseyside","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.315,14.128,16.502,"3538","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","North Eastern Scotland","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",18.976,16.721,21.23,"1162","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","19%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","North Yorkshire","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","4","2014-2022",17.219,15.721,18.717,"2441","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","17%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Northern Ireland","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","2","2014-2022",12.372,11.734,13.01,"10232","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","12%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Northumberland, and Tyne and Wear","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","2","2014-2022",12.874,11.82,13.927,"3883","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","13%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Outer London - East and North East","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","3","2014-2022",15.397,14.361,16.433,"4662","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","15%"
"dr14","Distribution of parental occupation","geography_caterpillar","TLH2","ITL2","Outer London - South","sec_dependent_children","Higher professional","itl2_current_geo",NA,"quintile","5","2014-2022",24.135,22.709,25.561,"3458","Percent",NA,"sec_dependent_children, itl2_current_geo","rweight","21-99","2014-2022","24%"
