"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","sec_dependent_children","Higher professional","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",5,,,"2014-2024",22.643,21.575,23.764,5704,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_dependent_children","Higher professional","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2024",25.224,24.262,26.207,7759,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cheshire","sec_dependent_children","Higher professional","itl2_current_geo","Cheshire","quintile",5,,,"2014-2024",24.52,23.03,26.085,3111,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","sec_dependent_children","Higher professional","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,,,"2014-2024",12.6,11.118,14.238,1802,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cumbria","sec_dependent_children","Higher professional","itl2_current_geo","Cumbria","quintile",1,,,"2014-2024",12.038,10.477,13.851,1492,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","sec_dependent_children","Higher professional","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",3,,,"2014-2024",15.57,14.684,16.497,6256,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Devon","sec_dependent_children","Higher professional","itl2_current_geo","Devon","quintile",2,,,"2014-2024",15.125,13.954,16.369,3465,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Dorset and Somerset","sec_dependent_children","Higher professional","itl2_current_geo","Dorset and Somerset","quintile",3,,,"2014-2024",15.75,14.646,16.915,4045,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Anglia","sec_dependent_children","Higher professional","itl2_current_geo","East Anglia","quintile",3,,,"2014-2024",16.43,15.603,17.285,7579,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Wales","sec_dependent_children","Higher professional","itl2_current_geo","East Wales","quintile",3,,,"2014-2024",16.022,14.788,17.343,3245,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","sec_dependent_children","Higher professional","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2014-2024",10.615,9.47,11.858,2640,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Eastern Scotland","sec_dependent_children","Higher professional","itl2_current_geo","Eastern Scotland","quintile",4,,,"2014-2024",18.351,17.332,19.397,5490,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Essex","sec_dependent_children","Higher professional","itl2_current_geo","Essex","quintile",4,,,"2014-2024",17.353,16.343,18.428,5161,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","sec_dependent_children","Higher professional","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",5,,,"2014-2024",21.674,20.785,22.598,8045,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Greater Manchester","sec_dependent_children","Higher professional","itl2_current_geo","Greater Manchester","quintile",2,,,"2014-2024",15.37,14.598,16.187,8045,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","sec_dependent_children","Higher professional","itl2_current_geo","Hampshire and Isle of Wight","quintile",4,,,"2014-2024",20.165,19.155,21.225,5870,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","sec_dependent_children","Higher professional","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",4,,,"2014-2024",19.884,18.703,21.101,4337,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Highlands and Islands","sec_dependent_children","Higher professional","itl2_current_geo","Highlands and Islands","quintile",1,,,"2014-2024",10.902,8.911,13.179,865,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Inner London - East","sec_dependent_children","Higher professional","itl2_current_geo","Inner London - East","quintile",4,,,"2014-2024",19.154,18.065,20.294,4876,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Inner London - West","sec_dependent_children","Higher professional","itl2_current_geo","Inner London - West","quintile",5,,,"2014-2024",30.883,28.819,32.988,1931,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Kent","sec_dependent_children","Higher professional","itl2_current_geo","Kent","quintile",4,,,"2014-2024",17.437,16.384,18.555,4787,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Lancashire","sec_dependent_children","Higher professional","itl2_current_geo","Lancashire","quintile",2,,,"2014-2024",13.462,12.463,14.511,4363,"Percent",
