"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR21","Further education and training opportunities","Country","K02000001","England",2022,"Total","16-18","Total","Participation type","Education and apprenticeships/WBL",NA,NA,78.6935185850858,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2022,"Total","16-18","Total","Participation type","In employment (not in education or training)",NA,NA,8.05720053540121,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2022,"Total","16-18","Total","Participation type","NEET",NA,NA,8.3960325018997,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2022,"Total","16-18","Total","Participation type","Other training (less overlaps)",NA,NA,4.85324837761324,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2021,"Total","16-18","Total","Participation type","Education and apprenticeships/WBL",NA,NA,79.55575203,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2021,"Total","16-18","Total","Participation type","In employment (not in education or training)",NA,NA,8.584878829,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2021,"Total","16-18","Total","Participation type","NEET",NA,NA,7.049513635,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2021,"Total","16-18","Total","Participation type","Other training (less overlaps)",NA,NA,4.809855503,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2020,"Total","16-18","Total","Participation type","Education and apprenticeships/WBL",NA,NA,81.01975885,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2020,"Total","16-18","Total","Participation type","In employment (not in education or training)",NA,NA,7.379999298,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2020,"Total","16-18","Total","Participation type","NEET",NA,NA,7.117303674,NA,NA,NA,NA,"Percentage",NA
"DR21","Further education and training opportunities","Country","K02000001","England",2020,"Total","16-18","Total","Participation type","Other training (less overlaps)",NA,NA,4.48293818,NA,NA,NA,NA,"Percentage",NA
