"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Education and apprenticeships/work-based learning","year",2023,,,,,"2011-2023",79,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","In employment (not in education or training)","year",2023,,,,,"2011-2023",8,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","NEET","year",2023,,,,,"2011-2023",8,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Other training","year",2023,,,,,"2011-2023",5,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Education and apprenticeships/work-based learning","year",2022,,,,,"2011-2023",79,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","In employment (not in education or training)","year",2022,,,,,"2011-2023",8,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","NEET","year",2022,,,,,"2011-2023",8,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Other training","year",2022,,,,,"2011-2023",5,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Education and apprenticeships/work-based learning","year",2021,,,,,"2011-2023",79,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","In employment (not in education or training)","year",2021,,,,,"2011-2023",9,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","NEET","year",2021,,,,,"2011-2023",7,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Other training","year",2021,,,,,"2011-2023",5,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","Education and apprenticeships/work-based learning","year",2020,,,,,"2011-2023",80,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","In employment (not in education or training)","year",2020,,,,,"2011-2023",8,,,,"Percent",
"dr21","Further education and training opportunities","trend","E92000001","Country","England","category","NEET","year",2020,,,,,"2011-2023",8,,,,"Percent",
