"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR51","Broadband speed","ITL2",NA,"Northern Ireland",2016,NA,NA,NA,NA,NA,29.94,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Tees Valley and Durham",2017,NA,NA,NA,NA,NA,47.25,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Northumberland, and Tyne and Wear",2017,NA,NA,NA,NA,NA,42.62,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Cumbria",2017,NA,NA,NA,NA,NA,27.7,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Greater Manchester",2017,NA,NA,NA,NA,NA,47.98,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Lancashire",2017,NA,NA,NA,NA,NA,42.15,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Cheshire",2017,NA,NA,NA,NA,NA,36.65,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Merseyside",2017,NA,NA,NA,NA,NA,50.77,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"East Yorkshire and Northern Lincolnshire",2017,NA,NA,NA,NA,NA,44.91,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"North Yorkshire",2017,NA,NA,NA,NA,NA,44.03,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"South Yorkshire",2017,NA,NA,NA,NA,NA,36.66,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"West Yorkshire",2017,NA,NA,NA,NA,NA,43.12,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Derbyshire and Nottinghamshire",2017,NA,NA,NA,NA,NA,45.78,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Leicestershire, Rutland and Northamptonshire",2017,NA,NA,NA,NA,NA,48.43,NA,NA,NA,NA,"Megabits per second",NA
"DR51","Broadband speed","ITL2",NA,"Lincolnshire",2017,NA,NA,NA,NA,NA,34.78,NA,NA,NA,NA,"Megabits per second",NA
