ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
DR51,Broadband speed,ITL2,K02000001,Inner London - West,2023,Total,NA,Total,Quintile,4,NA,NA,84.17912633,551976,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Inner London - East,2023,Total,NA,Total,Quintile,4,NA,NA,84.13118398,924966,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Outer London - East and North East,2023,Total,NA,Total,Quintile,5,NA,NA,88.52422291,699429,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Outer London - South,2023,Total,NA,Total,Quintile,5,NA,NA,88.79053623,507762,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Outer London - West and North West,2023,Total,NA,Total,Quintile,4,NA,NA,83.31133606,733483,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Greater Manchester,2023,Total,NA,Total,Quintile,5,NA,NA,84.7564638,1138787,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Lancashire,2023,Total,NA,Total,Quintile,3,NA,NA,73.35338926,547641,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Cheshire,2023,Total,NA,Total,Quintile,3,NA,NA,74.74910102,906735,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Merseyside,2023,Total,NA,Total,Quintile,4,NA,NA,83.26541618,633017,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Tees Valley and Durham,2023,Total,NA,Total,Quintile,1,NA,NA,61.18024947,1336537,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,"Northumberland, and Tyne and Wear",2023,Total,NA,Total,Quintile,2,NA,NA,63.68365645,983617,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,Cumbria,2023,Total,NA,Total,Quintile,1,NA,NA,37.75604235,104070,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,East Yorkshire and Northern Lincolnshire,2023,Total,NA,Total,Quintile,5,NA,NA,87.33068319,401150,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,North Yorkshire,2023,Total,NA,Total,Quintile,2,NA,NA,61.91168747,260525,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,South Yorkshire,2023,Total,NA,Total,Quintile,4,NA,NA,77.57855178,514224,NA,NA,NA,Percentage,Gigabit availability (% premises)
DR51,Broadband speed,ITL2,K02000001,West Yorkshire,2023,Total,NA,Total,Quintile,4,NA,NA,84.33987305,913206,NA,NA,NA,Percentage,Gigabit availability (% premises)
