Region,Percentage (%)
Bedfordshire and Hertfordshire,82.10134963
"Berkshire, Buckinghamshire and Oxfordshire",77.8582641
Cheshire,74.74910102
Cornwall and Isles of Scilly,45.82068812
Cumbria,37.75604235
Derbyshire and Nottinghamshire,76.15399652
Devon,69.34333692
Dorset and Somerset,61.46559065
East Anglia,62.53952938
East Wales,71.90909107
East Yorkshire and Northern Lincolnshire,87.33068319
Eastern Scotland,76.59031463
Essex,74.25081827
"Gloucestershire, Wiltshire and Bath/Bristol area",70.47219972
Greater Manchester,84.7564638
Hampshire and Isle of Wight,74.98540185
"Herefordshire, Worcestershire and Warwickshire",72.32277065
Highlands and Islands,27.71048171
Inner London - East,84.13118398
Inner London - West,84.17912633
Kent,71.29523409
Lancashire,73.35338926
"Leicestershire, Rutland and Northamptonshire",84.65668184
Lincolnshire,63.06800982
Merseyside,83.26541618
North Eastern Scotland,57.70170866
North Yorkshire,61.91168747
Northern Ireland,91
"Northumberland, and Tyne and Wear",63.68365645
Outer London - East and North East,88.52422291
Outer London - South,88.79053623
Outer London - West and North West,83.31133606
Shropshire and Staffordshire,61.38893963
South Yorkshire,77.57855178
Southern Scotland,61.32051076
"Surrey, East and West Sussex",70.02745632
Tees Valley and Durham,61.18024947
West Central Scotland,85.68554157
West Midlands,91.25275254
West Wales and The Valleys,57.11963829
West Yorkshire,84.33987305
