"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",85.178
"Berkshire, Buckinghamshire and Oxfordshire",84.227
"Cheshire",82.053
"Cornwall and Isles of Scilly",54.24
"Cumbria",55.097
"Derbyshire and Nottinghamshire",83.354
"Devon",76.788
"Dorset and Somerset",76.03
"East Anglia",71.399
"East Wales",78.087
"East Yorkshire and Northern Lincolnshire",91.469
"Eastern Scotland",81.24
"Essex",82.723
"Gloucestershire, Wiltshire and Bath/Bristol area",79.677
"Greater Manchester",90.182
"Hampshire and Isle of Wight",81.136
"Herefordshire, Worcestershire and Warwickshire",79.981
"Highlands and Islands",35.974
"Inner London - East",87.892
"Inner London - West",86.608
"Kent",75.524
"Lancashire",81.997
"Leicestershire, Rutland and Northamptonshire",86.672
"Lincolnshire",71.058
"Merseyside",87.891
"North Eastern Scotland",62.557
"North Yorkshire",73.18
"Northern Ireland",93
"Northumberland, and Tyne and Wear",84.524
"Outer London - East and North East",90.548
"Outer London - South",89.966
"Outer London - West and North West",84.464
"Shropshire and Staffordshire",78.014
"South Yorkshire",89.044
"Southern Scotland",69.276
"Surrey, East and West Sussex",75.267
"Tees Valley and Durham",80.014
"West Central Scotland",90.941
"West Midlands",93.318
"West Wales and The Valleys",68.446
"West Yorkshire",89.445
