Region,"Expenditure in millions of pounds per 100,000 people (£m)"
Bedfordshire and Hertfordshire,103.1739234
"Berkshire, Buckinghamshire and Oxfordshire",112.3381935
Cheshire,90.86884542
Cornwall and Isles of Scilly,5.441271072
Cumbria,36.5283738
Derbyshire and Nottinghamshire,66.82863344
Devon,14.6522105
Dorset and Somerset,20.90166568
East Anglia,120.2782283
East Wales,20.66185521
East Yorkshire and Northern Lincolnshire,22.3225849
Eastern Scotland,44.53598453
Essex,42.29012079
"Gloucestershire, Wiltshire and Bath/Bristol area",58.53429542
Greater Manchester,14.99752252
Hampshire and Isle of Wight,45.6289925
"Herefordshire, Worcestershire and Warwickshire",135.2565577
Highlands and Islands,4.495483205
Inner London - East,24.30361803
Inner London - West,148.6700203
Kent,33.92259622
Lancashire,19.78444012
"Leicestershire, Rutland and Northamptonshire",24.72796656
Lincolnshire,8.639199114
Merseyside,33.1233937
North Eastern Scotland,39.70233885
North Yorkshire,32.20176104
Northern Ireland,31.27757155
"Northumberland, and Tyne and Wear",20.20008631
Outer London - East and North East,3.042537279
Outer London - South,4.508036009
Outer London - West and North West,47.42649943
Shropshire and Staffordshire,19.78546621
South Yorkshire,10.4567493
Southern Scotland,6.740373174
"Surrey, East and West Sussex",46.44934655
Tees Valley and Durham,17.6289869
West Central Scotland,22.12400014
West Midlands,31.40901813
West Wales and The Valleys,12.77203922
West Yorkshire,18.32355353
