"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR52","Business expenditure on research and development","ITL2",NA,"Bedfordshire and Hertfordshire",2018,"Total",NA,"Total","Quintile",5,NA,NA,103.173923374533,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Berkshire, Buckinghamshire and Oxfordshire",2018,"Total",NA,"Total","Quintile",5,NA,NA,112.338193527671,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Cheshire",2018,"Total",NA,"Total","Quintile",5,NA,NA,90.8688454243871,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Cornwall and Isles of Scilly",2018,"Total",NA,"Total","Quintile",1,NA,NA,5.44127107249412,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Cumbria",2018,"Total",NA,"Total","Quintile",4,NA,NA,36.5283737997016,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Derbyshire and Nottinghamshire",2018,"Total",NA,"Total","Quintile",5,NA,NA,66.8286334361742,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Devon",2018,"Total",NA,"Total","Quintile",1,NA,NA,14.6522104959992,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Dorset and Somerset",2018,"Total",NA,"Total","Quintile",2,NA,NA,20.9016656833379,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"East Anglia",2018,"Total",NA,"Total","Quintile",5,NA,NA,120.278228293035,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"East Wales",2018,"Total",NA,"Total","Quintile",2,NA,NA,20.6618552135541,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"East Yorkshire and Northern Lincolnshire",2018,"Total",NA,"Total","Quintile",3,NA,NA,22.3225848966474,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Eastern Scotland",2018,"Total",NA,"Total","Quintile",4,NA,NA,44.5359845320745,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Essex",2018,"Total",NA,"Total","Quintile",4,NA,NA,42.2901207920895,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Gloucestershire, Wiltshire and Bath/Bristol area",2018,"Total",NA,"Total","Quintile",5,NA,NA,58.5342954247203,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Greater Manchester",2018,"Total",NA,"Total","Quintile",2,NA,NA,14.9975225214778,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Hampshire and Isle of Wight",2018,"Total",NA,"Total","Quintile",4,NA,NA,45.6289925044901,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Herefordshire, Worcestershire and Warwickshire",2018,"Total",NA,"Total","Quintile",5,NA,NA,135.256557742035,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Highlands and Islands",2018,"Total",NA,"Total","Quintile",1,NA,NA,4.49548320486086,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Inner London - East",2018,"Total",NA,"Total","Quintile",3,NA,NA,24.303618028863,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Inner London - West",2018,"Total",NA,"Total","Quintile",5,NA,NA,148.670020309509,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Kent",2018,"Total",NA,"Total","Quintile",4,NA,NA,33.9225962227326,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Lancashire",2018,"Total",NA,"Total","Quintile",2,NA,NA,19.7844401208371,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Leicestershire, Rutland and Northamptonshire",2018,"Total",NA,"Total","Quintile",3,NA,NA,24.7279665553904,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Lincolnshire",2018,"Total",NA,"Total","Quintile",1,NA,NA,8.63919911383925,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"Merseyside",2018,"Total",NA,"Total","Quintile",3,NA,NA,33.1233937049452,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"North Eastern Scotland",2018,"Total",NA,"Total","Quintile",4,NA,NA,39.702338849379,NA,NA,NA,NA,"British Pound",NA
"DR52","Business expenditure on research and development","ITL2",NA,"North Yorkshire",2018,"Total",NA,"Total","Quintile",3,NA,NA,32.2017610402928,NA,NA,NA,NA,"British Pound",NA
