"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2014",,,,,,,2014,41.049,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2015",,,,,,,2015,42.869,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2016",,,,,,,2016,45.037,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2017",,,,,,,2017,46.48,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2018",,,,,,,2018,49.981,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2019",,,,,,,2019,50.242,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2020",,,,,,,2020,49.731,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2021",,,,,,,2021,53.359,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2022",,,,,,,2022,51.553,,,,"billions of £",
"dr52","Business expenditure on research and development","trend","K02000001","country","United Kingdom","time_period","2023",,,,,,,2023,49.973,,,,"billions of £",
