"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",16.42
"Berkshire, Buckinghamshire and Oxfordshire",20.065
"Cheshire",17.096
"Cornwall and Isles of Scilly",9.908
"Cumbria",10.734
"Derbyshire and Nottinghamshire",13.161
"Devon",11.73
"Dorset and Somerset",11.681
"East Anglia",13.473
"East Wales",12.982
"East Yorkshire and Northern Lincolnshire",9.261
"Eastern Scotland",16.048
"Essex",12.505
"Gloucestershire, Wiltshire and Bath/Bristol area",17.649
"Greater Manchester",13.459
"Hampshire and Isle of Wight",15.113
"Herefordshire, Worcestershire and Warwickshire",14.766
"Highlands and Islands",8.579
"Inner London - East",20.31
"Inner London - West",19.966
"Kent",12.371
"Lancashire",11.024
"Leicestershire, Rutland and Northamptonshire",13.571
"Lincolnshire",9.91
"Merseyside",11.877
"North Eastern Scotland",17.277
"North Yorkshire",12.621
"Northern Ireland",11.192
"Northumberland, and Tyne and Wear",11.797
"Outer London - East and North East",14.197
"Outer London - South",18.419
"Outer London - West and North West",17.214
"Shropshire and Staffordshire",11.334
"South Yorkshire",10.689
"Southern Scotland",9.681
"Surrey, East and West Sussex",16.162
"Tees Valley and Durham",10.284
"West Central Scotland",14.181
"West Midlands",12.356
"West Wales and The Valleys",9.894
"West Yorkshire",13.424
