Region,2018,2017,2016,2015
Bedfordshire and Hertfordshire,1200,1270,1280,1305
"Berkshire, Buckinghamshire and Oxfordshire",5680,5525,6150,6210
Cheshire,225,215,230,210
Cornwall and Isles of Scilly,25,20,15,20
Cumbria,30,45,45,50
Derbyshire and Nottinghamshire,3155,3230,3200,3215
Devon,1690,1680,1625,1645
Dorset and Somerset,360,375,420,390
East Anglia,5110,5395,5470,5550
East Wales,1705,1655,1635,1605
East Yorkshire and Northern Lincolnshire,490,520,640,690
Eastern Scotland,5390,,,
Essex,865,905,880,985
"Gloucestershire, Wiltshire and Bath/Bristol area",3250,3325,3225,3115
Greater Manchester,4390,4385,4300,4205
Hampshire and Isle of Wight,2530,2610,2795,2890
"Herefordshire, Worcestershire and Warwickshire",90,75,80,75
Highlands and Islands,120,105,70,50
Inner London - East,2220,2175,2250,2270
Inner London - West,12980,12820,12860,12965
Kent,1365,1350,1365,1325
Lancashire,1645,1730,1680,1730
"Leicestershire, Rutland and Northamptonshire",2325,2230,2370,2560
Lincolnshire,360,350,330,355
Merseyside,2100,2100,2090,1980
North Eastern Scotland,975,1005,1015,1030
North Yorkshire,1250,1240,1240,1245
Northern Ireland,1810,1820,1770,1765
"Northumberland, and Tyne and Wear",2370,2390,2390,2335
Outer London - East and North East,300,295,330,350
Outer London - South,295,300,335,320
Outer London - West and North West,875,800,870,1005
Shropshire and Staffordshire,455,465,510,510
South Yorkshire,2490,2445,2515,2600
"Surrey, East and West Sussex",2475,2435,2580,2725
Tees Valley and Durham,1365,1360,1335,1355
West Central Scotland,4335,,,
West Midlands,2735,4880,4765,4775
West Wales and The Valleys,1785,1705,1705,1625
West Yorkshire,3575,3545,3515,3565
