Region,Percentage (%)
Bedfordshire and Hertfordshire,11.80395562
"Berkshire, Buckinghamshire and Oxfordshire",17.33241461
Cheshire,12.97532284
Cornwall and Isles of Scilly,9.51810931
Cumbria,9.900332404
Derbyshire and Nottinghamshire,9.632657549
Devon,10.34421021
Dorset and Somerset,10.41811523
East Anglia,11.87663556
East Wales,13.40064906
East Yorkshire and Northern Lincolnshire,6.614319766
Eastern Scotland,13.87121479
Essex,8.485244544
"Gloucestershire, Wiltshire and Bath/Bristol area",13.05889856
Greater Manchester,10.97025149
Hampshire and Isle of Wight,11.40232916
"Herefordshire, Worcestershire and Warwickshire",11.2262727
Highlands and Islands,7.855593025
Inner London - East,23.47609512
Inner London - West,31.61436255
Kent,9.825008358
Lancashire,9.182423965
"Leicestershire, Rutland and Northamptonshire",9.307796004
Lincolnshire,6.624878867
Merseyside,9.970705109
North Eastern Scotland,14.70208426
North Yorkshire,13.24018448
Northern Ireland,9.702376795
"Northumberland, and Tyne and Wear",10.16573224
Outer London - East and North East,15.14149437
Outer London - South,19.2684547
Outer London - West and North West,19.97224276
Shropshire and Staffordshire,8.990616391
South Yorkshire,9.439034375
Southern Scotland,6.963252789
"Surrey, East and West Sussex",13.48724373
Tees Valley and Durham,7.437558161
West Central Scotland,11.04050961
West Midlands,9.605748651
West Wales and The Valleys,9.577669153
West Yorkshire,10.14093053
