"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","higher_degree_binary","Higher degree","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",4,,,"2014-2024",13.497,12.889,14.126,11878,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Berkshire, Buckinghamshire and Oxfordshire","higher_degree_binary","Higher degree","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2024",18.128,17.552,18.714,17042,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Cheshire","higher_degree_binary","Higher degree","itl2_current_geo","Cheshire","quintile",5,,,"2014-2024",15.744,14.91,16.62,7081,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Cornwall and Isles of Scilly","higher_degree_binary","Higher degree","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,,,"2014-2024",9.708,8.879,10.614,4592,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Cumbria","higher_degree_binary","Higher degree","itl2_current_geo","Cumbria","quintile",2,,,"2014-2024",10.244,9.325,11.215,4056,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Derbyshire and Nottinghamshire","higher_degree_binary","Higher degree","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",2,,,"2014-2024",10.205,9.739,10.695,15646,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Devon","higher_degree_binary","Higher degree","itl2_current_geo","Devon","quintile",3,,,"2014-2024",11.273,10.61,11.962,8546,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Dorset and Somerset","higher_degree_binary","Higher degree","itl2_current_geo","Dorset and Somerset","quintile",3,,,"2014-2024",10.854,10.245,11.487,9797,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","East Anglia","higher_degree_binary","Higher degree","itl2_current_geo","East Anglia","quintile",3,,,"2014-2024",11.312,10.863,11.78,18562,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","East Wales","higher_degree_binary","Higher degree","itl2_current_geo","East Wales","quintile",4,,,"2014-2024",13.957,13.2,14.737,7942,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","East Yorkshire and Northern Lincolnshire","higher_degree_binary","Higher degree","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2014-2024",7.361,6.741,8.037,6397,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Eastern Scotland","higher_degree_binary","Higher degree","itl2_current_geo","Eastern Scotland","quintile",5,,,"2014-2024",15.002,14.419,15.6,14213,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Essex","higher_degree_binary","Higher degree","itl2_current_geo","Essex","quintile",1,,,"2014-2024",9.37,8.854,9.921,11660,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","higher_degree_binary","Higher degree","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",4,,,"2014-2024",14.844,14.335,15.363,18549,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Greater Manchester","higher_degree_binary","Higher degree","itl2_current_geo","Greater Manchester","quintile",3,,,"2014-2024",11.611,11.155,12.088,18315,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Hampshire and Isle of Wight","higher_degree_binary","Higher degree","itl2_current_geo","Hampshire and Isle of Wight","quintile",3,,,"2014-2024",11.895,11.363,12.454,13717,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Herefordshire, Worcestershire and Warwickshire","higher_degree_binary","Higher degree","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",3,,,"2014-2024",11.936,11.322,12.576,10440,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Highlands and Islands","higher_degree_binary","Higher degree","itl2_current_geo","Highlands and Islands","quintile",1,,,"2014-2024",8.577,7.551,9.763,2560,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Inner London - East","higher_degree_binary","Higher degree","itl2_current_geo","Inner London - East","quintile",5,,,"2014-2024",25.097,24.33,25.885,12072,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Inner London - West","higher_degree_binary","Higher degree","itl2_current_geo","Inner London - West","quintile",5,,,"2014-2024",32.026,30.738,33.362,4932,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Kent","higher_degree_binary","Higher degree","itl2_current_geo","Kent","quintile",2,,,"2014-2024",10.315,9.752,10.902,10918,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Lancashire","higher_degree_binary","Higher degree","itl2_current_geo","Lancashire","quintile",2,,,"2014-2024",10.02,9.452,10.614,10431,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Leicestershire, Rutland and Northamptonshire","higher_degree_binary","Higher degree","itl2_current_geo","Leicestershire, Rutland and Northamptonshire","quintile",2,,,"2014-2024",10.242,9.736,10.776,13256,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Lincolnshire","higher_degree_binary","Higher degree","itl2_current_geo","Lincolnshire","quintile",1,,,"2014-2024",7.171,6.51,7.89,5523,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Merseyside","higher_degree_binary","Higher degree","itl2_current_geo","Merseyside","quintile",2,,,"2014-2024",10.317,9.706,10.955,9269,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","North Eastern Scotland","higher_degree_binary","Higher degree","itl2_current_geo","North Eastern Scotland","quintile",4,,,"2014-2024",14.636,13.459,15.869,3385,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","North Yorkshire","higher_degree_binary","Higher degree","itl2_current_geo","North Yorkshire","quintile",4,,,"2014-2024",14.154,13.327,15.012,6693,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Northern Ireland","higher_degree_binary","Higher degree","itl2_current_geo","Northern Ireland","quintile",1,,,"2014-2024",9.763,9.425,10.109,29216,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Northumberland, and Tyne and Wear","higher_degree_binary","Higher degree","itl2_current_geo","Northumberland, and Tyne and Wear","quintile",2,,,"2014-2024",10.459,9.895,11.044,11085,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Outer London - East and North East","higher_degree_binary","Higher degree","itl2_current_geo","Outer London - East and North East","quintile",5,,,"2014-2024",15.484,14.798,16.188,10549,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Outer London - South","higher_degree_binary","Higher degree","itl2_current_geo","Outer London - South","quintile",5,,,"2014-2024",20.068,19.203,20.958,8113,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Outer London - West and North West","higher_degree_binary","Higher degree","itl2_current_geo","Outer London - West and North West","quintile",5,,,"2014-2024",21.421,20.655,22.209,10844,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Shropshire and Staffordshire","higher_degree_binary","Higher degree","itl2_current_geo","Shropshire and Staffordshire","quintile",1,,,"2014-2024",9.453,8.912,10.023,10843,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","South Yorkshire","higher_degree_binary","Higher degree","itl2_current_geo","South Yorkshire","quintile",4,,,"2014-2024",12.302,11.652,12.986,9469,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Southern Scotland","higher_degree_binary","Higher degree","itl2_current_geo","Southern Scotland","quintile",1,,,"2014-2024",6.868,6.286,7.493,6919,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Surrey, East and West Sussex","higher_degree_binary","Higher degree","itl2_current_geo","Surrey, East and West Sussex","quintile",4,,,"2014-2024",14.716,14.213,15.237,18576,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","Tees Valley and Durham","higher_degree_binary","Higher degree","itl2_current_geo","Tees Valley and Durham","quintile",1,,,"2014-2024",8.246,7.675,8.846,8651,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","West Central Scotland","higher_degree_binary","Higher degree","itl2_current_geo","West Central Scotland","quintile",4,,,"2014-2024",12.338,11.691,13.018,9587,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","West Midlands","higher_degree_binary","Higher degree","itl2_current_geo","West Midlands","quintile",3,,,"2014-2024",10.627,10.166,11.101,16904,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","West Wales and The Valleys","higher_degree_binary","Higher degree","itl2_current_geo","West Wales and The Valleys","quintile",2,,,"2014-2024",9.991,9.49,10.508,13537,"Percent",,
"dr53","Postgraduate education","geography_caterpillar","TLH2","ITL2","West Yorkshire","higher_degree_binary","Higher degree","itl2_current_geo","West Yorkshire","quintile",3,,,"2014-2024",10.584,10.127,11.062,16854,"Percent",,
