"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR53","FTE university research students","ITL2",NA,"Tees Valley and Durham",2018,NA,NA,"Total",NA,NA,1365,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Northumberland, and Tyne and Wear",2018,NA,NA,"Total",NA,NA,2370,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Cumbria",2018,NA,NA,"Total",NA,NA,30,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Greater Manchester",2018,NA,NA,"Total",NA,NA,4390,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Lancashire",2018,NA,NA,"Total",NA,NA,1645,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Cheshire",2018,NA,NA,"Total",NA,NA,225,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Merseyside",2018,NA,NA,"Total",NA,NA,2100,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"East Yorkshire and Northern Lincolnshire",2018,NA,NA,"Total",NA,NA,490,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"North Yorkshire",2018,NA,NA,"Total",NA,NA,1250,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"South Yorkshire",2018,NA,NA,"Total",NA,NA,2490,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"West Yorkshire",2018,NA,NA,"Total",NA,NA,3575,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Derbyshire and Nottinghamshire",2018,NA,NA,"Total",NA,NA,3155,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Leicestershire, Rutland and Northamptonshire",2018,NA,NA,"Total",NA,NA,2325,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Lincolnshire",2018,NA,NA,"Total",NA,NA,360,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Herefordshire, Worcestershire and Warwickshire",2018,NA,NA,"Total",NA,NA,90,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"Shropshire and Staffordshire",2018,NA,NA,"Total",NA,NA,455,NA,NA,NA,NA,"Number of students",NA
"DR53","FTE university research students","ITL2",NA,"West Midlands",2018,NA,NA,"Total",NA,NA,2735,NA,NA,NA,NA,"Number of students",NA
