ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,lci_percent,uci_percent
DR53,University research students,ITL2,K02000001,Bedfordshire and Hertfordshire,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,11.80395562,1229,0.100000307,0.136078806,0.009203699,Percentage,NA,10.00003066,13.60788058
DR53,University research students,ITL2,K02000001,"Berkshire, Buckinghamshire and Oxfordshire",2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,17.33241461,2471,0.15839906,0.188249233,0.00761484,Percentage,NA,15.83990595,18.82492327
DR53,University research students,ITL2,K02000001,Cheshire,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,12.97532284,682,0.104533281,0.154973176,0.01286732,Percentage,NA,10.45332808,15.49731761
DR53,University research students,ITL2,K02000001,Cornwall and Isles of Scilly,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.51810931,301,0.062027622,0.128334564,0.016915036,Percentage,NA,6.202762229,12.83345639
DR53,University research students,ITL2,K02000001,Cumbria,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.900332404,354,0.067890393,0.130116255,0.015873944,Percentage,NA,6.789039326,13.01162548
DR53,University research students,ITL2,K02000001,Derbyshire and Nottinghamshire,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.632657549,1341,0.08053518,0.112117971,0.008056834,Percentage,NA,8.053518044,11.21179705
DR53,University research students,ITL2,K02000001,Devon,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,10.34421021,744,0.081559073,0.125325131,0.011164811,Percentage,NA,8.155907274,12.53251314
DR53,University research students,ITL2,K02000001,Dorset and Somerset,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,10.41811523,895,0.084166446,0.124195859,0.010211585,Percentage,NA,8.416644559,12.41958589
DR53,University research students,ITL2,K02000001,East Anglia,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,11.87663556,1919,0.104291614,0.133241098,0.007385072,Percentage,NA,10.42916136,13.32410977
DR53,University research students,ITL2,K02000001,East Wales,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,13.40064906,956,0.112411781,0.1556012,0.011017709,Percentage,NA,11.24117814,15.56011998
DR53,University research students,ITL2,K02000001,East Yorkshire and Northern Lincolnshire,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,6.614319766,383,0.041252365,0.09103403,0.012699404,Percentage,NA,4.125236523,9.103403009
DR53,University research students,ITL2,K02000001,Eastern Scotland,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,13.87121479,1653,0.12204923,0.155375066,0.008501489,Percentage,NA,12.204923,15.53750658
DR53,University research students,ITL2,K02000001,Essex,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,8.485244544,795,0.065481525,0.104223366,0.009883123,Percentage,NA,6.548152532,10.42233656
DR53,University research students,ITL2,K02000001,"Gloucestershire, Wiltshire and Bath/Bristol area",2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,13.05889856,1754,0.114819878,0.146358093,0.008045463,Percentage,NA,11.48198779,14.63580933
DR53,University research students,ITL2,K02000001,Greater Manchester,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,10.97025149,1787,0.095212472,0.124192557,0.007392879,Percentage,NA,9.521247235,12.41925574
DR53,University research students,ITL2,K02000001,Hampshire and Isle of Wight,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,11.40232916,1299,0.096738688,0.131307896,0.008818676,Percentage,NA,9.673868757,13.13078957
DR53,University research students,ITL2,K02000001,"Herefordshire, Worcestershire and Warwickshire",2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,11.2262727,1051,0.093176735,0.131348719,0.009737751,Percentage,NA,9.317673511,13.13487188
DR53,University research students,ITL2,K02000001,Highlands and Islands,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,7.855593025,184,0.039680864,0.117430996,0.019834217,Percentage,NA,3.968086442,11.74309961
DR53,University research students,ITL2,K02000001,Inner London - East,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,23.47609512,2376,0.217718018,0.251803885,0.008695374,Percentage,NA,21.77180179,25.18038846
DR53,University research students,ITL2,K02000001,Inner London - West,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,31.61436255,1345,0.291294015,0.340993236,0.012678373,Percentage,NA,29.12940146,34.09932365
DR53,University research students,ITL2,K02000001,Kent,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.825008358,936,0.079181095,0.117319073,0.009729076,Percentage,NA,7.918109465,11.73190725
DR53,University research students,ITL2,K02000001,Lancashire,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,9.182423965,872,0.072656917,0.110991562,0.009779246,Percentage,NA,7.265691705,11.09915622
DR53,University research students,ITL2,K02000001,"Leicestershire, Rutland and Northamptonshire",2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,9.307796004,1060,0.075587085,0.110568835,0.008923916,Percentage,NA,7.558708468,11.05688354
DR53,University research students,ITL2,K02000001,Lincolnshire,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,6.624878867,311,0.03860609,0.093891487,0.014103418,Percentage,NA,3.860609017,9.389148717
DR53,University research students,ITL2,K02000001,Merseyside,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,9.970705109,775,0.078612996,0.120801106,0.010762273,Percentage,NA,7.861299578,12.08011064
DR53,University research students,ITL2,K02000001,North Eastern Scotland,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,14.70208426,433,0.113665087,0.180376598,0.017018243,Percentage,NA,11.36650867,18.03765984
DR53,University research students,ITL2,K02000001,North Yorkshire,2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,13.24018448,764,0.108368417,0.156435273,0.012261953,Percentage,NA,10.83684169,15.64352728
DR53,University research students,ITL2,K02000001,Northern Ireland,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.702376795,2359,0.085079231,0.108968305,0.006094152,Percentage,NA,8.507923071,10.89683052
DR53,University research students,ITL2,K02000001,"Northumberland, and Tyne and Wear",2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,10.16573224,899,0.081902798,0.121411847,0.010078839,Percentage,NA,8.190279814,12.14118466
DR53,University research students,ITL2,K02000001,Outer London - East and North East,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,15.14149437,1374,0.13246121,0.170368677,0.009670272,Percentage,NA,13.24612105,17.0368677
DR53,University research students,ITL2,K02000001,Outer London - South,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,19.2684547,1334,0.171519305,0.213849789,0.010798593,Percentage,NA,17.15193053,21.38497887
DR53,University research students,ITL2,K02000001,Outer London - West and North West,2014-2022,Total,25 to 29,Total,Quintile,5,NA,NA,19.97224276,1946,0.181959343,0.217485513,0.009062798,Percentage,NA,18.19593426,21.74855127
DR53,University research students,ITL2,K02000001,Shropshire and Staffordshire,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,8.990616391,874,0.070941805,0.108870523,0.009675694,Percentage,NA,7.094180459,10.88705232
DR53,University research students,ITL2,K02000001,South Yorkshire,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.439034375,620,0.071376215,0.117404472,0.011741902,Percentage,NA,7.13762153,11.74044722
DR53,University research students,ITL2,K02000001,Southern Scotland,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,6.963252789,471,0.046645705,0.092619351,0.011727971,Percentage,NA,4.664570458,9.26193512
DR53,University research students,ITL2,K02000001,"Surrey, East and West Sussex",2014-2022,Total,25 to 29,Total,Quintile,4,NA,NA,13.48724373,2087,0.120217076,0.149527798,0.007477225,Percentage,NA,12.02170762,14.95277984
DR53,University research students,ITL2,K02000001,Tees Valley and Durham,2014-2022,Total,25 to 29,Total,Quintile,1,NA,NA,7.437558161,587,0.053149511,0.095601652,0.010829628,Percentage,NA,5.314951075,9.560165246
DR53,University research students,ITL2,K02000001,West Central Scotland,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,11.04050961,922,0.090175775,0.130634418,0.010321082,Percentage,NA,9.017577474,13.06344175
DR53,University research students,ITL2,K02000001,West Midlands,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.605748651,1431,0.080789834,0.111325139,0.007789619,Percentage,NA,8.07898339,11.13251391
DR53,University research students,ITL2,K02000001,West Wales and The Valleys,2014-2022,Total,25 to 29,Total,Quintile,2,NA,NA,9.577669153,1192,0.079070183,0.1124832,0.008523729,Percentage,NA,7.907018257,11.24832005
DR53,University research students,ITL2,K02000001,West Yorkshire,2014-2022,Total,25 to 29,Total,Quintile,3,NA,NA,10.14093053,1540,0.086332283,0.116486327,0.007692358,Percentage,NA,8.633228312,11.64863274
