Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
DR41,Civic participation,ITL1,NA,North East,2014,NA,Adults (16+),Total,NA,NA,34.60902007,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2015,NA,Adults (16+),Total,NA,NA,34.62970496,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2016,NA,Adults (16+),Total,NA,NA,27.68981609,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2017,NA,Adults (16+),Total,NA,NA,34.87147494,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2018,NA,Adults (16+),Total,NA,NA,32.32243105,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2019,NA,Adults (16+),Total,NA,NA,31.82093542,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2020,NA,Adults (16+),Total,NA,NA,36.8,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North East,2021,NA,Adults (16+),Total,NA,NA,37.18510521,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2014,NA,Adults (16+),Total,NA,NA,38.65968822,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2015,NA,Adults (16+),Total,NA,NA,34.25914979,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2016,NA,Adults (16+),Total,NA,NA,32.50978456,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2017,NA,Adults (16+),Total,NA,NA,40.14950379,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2018,NA,Adults (16+),Total,NA,NA,37.83665459,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2019,NA,Adults (16+),Total,NA,NA,32.266826,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2020,NA,Adults (16+),Total,NA,NA,41.6,NA,NA,NA,NA,Percent,NA
DR41,Civic participation,ITL1,NA,North West,2021,NA,Adults (16+),Total,NA,NA,38.81975632,NA,NA,NA,NA,Percent,NA
