"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",1997,NA,"22-29","Total",NA,NA,11.02,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",1998,NA,"22-29","Total",NA,NA,11.3,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",1999,NA,"22-29","Total",NA,NA,11.64,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2000,NA,"22-29","Total",NA,NA,11.98,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2001,NA,"22-29","Total",NA,NA,12.42,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2002,NA,"22-29","Total",NA,NA,12.86,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2003,NA,"22-29","Total",NA,NA,12.95,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2004,NA,"22-29","Total",NA,NA,13.07,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2005,NA,"22-29","Total",NA,NA,13.1,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2006,NA,"22-29","Total",NA,NA,13.13,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2007,NA,"22-29","Total",NA,NA,13.21,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2008,NA,"22-29","Total",NA,NA,13.21,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2009,NA,"22-29","Total",NA,NA,13.31,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2010,NA,"22-29","Total",NA,NA,12.88,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2011,NA,"22-29","Total",NA,NA,12.21,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2012,NA,"22-29","Total",NA,NA,12.11,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2013,NA,"22-29","Total",NA,NA,12.13,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2014,NA,"22-29","Total",NA,NA,12.12,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2015,NA,"22-29","Total",NA,NA,12.3,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2016,NA,"22-29","Total",NA,NA,12.62,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2017,NA,"22-29","Total",NA,NA,12.66,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2018,NA,"22-29","Total",NA,NA,12.78,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2019,NA,"22-29","Total",NA,NA,13.08,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2020,NA,"22-29","Total",NA,NA,13.21,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2021,NA,"22-29","Total",NA,NA,13.33,NA,NA,NA,NA,"Pounds",NA
"DR34","Earnings of 22 to 29 year olds","National","K02000001","United Kingdom",2022,NA,"22-29","Total",NA,NA,12.2,NA,NA,NA,NA,"Pounds",NA
