"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2014","Total","22 to 29","Total","sec","Higher professional",NA,NA,10.5321448934666,649,8.1704398969132,12.89384989002,1.20495152885377,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2015","Total","22 to 29","Total","sec","Higher professional",NA,NA,11.1398690454869,670,8.75748272219101,13.5222553687827,1.21550322617135,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2016","Total","22 to 29","Total","sec","Higher professional",NA,NA,11.5456864772928,655,9.09828730072974,13.9930856538558,1.24867304926686,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2017","Total","22 to 29","Total","sec","Higher professional",NA,NA,10.9268661648562,618,8.46716123360382,13.3865710961086,1.25495149553694,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2018","Total","22 to 29","Total","sec","Higher professional",NA,NA,13.2532697510645,685,10.7140583389114,15.7924811632175,1.29551602660868,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2019","Total","22 to 29","Total","sec","Higher professional",NA,NA,13.8131355866465,721,11.2945592605884,16.3317119127045,1.28498792145819,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2020","Total","22 to 29","Total","sec","Higher professional",NA,NA,14.2435468519039,534,11.2792074798324,17.2078862239755,1.51241804697527,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2021","Total","22 to 29","Total","sec","Higher professional",NA,NA,16.9013528282652,841,14.3684660072501,19.4342396492803,1.29228919439546,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2022","Total","22 to 29","Total","sec","Higher professional",NA,NA,18.1100375946819,664,15.1808509626505,21.0392242267132,1.4944829755262,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2014","Total","22 to 29","Total","sec","Lower professional",NA,NA,27.2755311671099,1719,25.1700807400238,29.3809815941959,1.07420940157451,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2015","Total","22 to 29","Total","sec","Lower professional",NA,NA,26.4741356229313,1673,24.3599697167226,28.58830152914,1.07865607459628,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2016","Total","22 to 29","Total","sec","Lower professional",NA,NA,25.9733307868877,1602,23.8260801349794,28.120581438796,1.095536046892,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2017","Total","22 to 29","Total","sec","Lower professional",NA,NA,26.7863169635465,1597,24.614334860289,28.958299066804,1.10815413431505,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2018","Total","22 to 29","Total","sec","Lower professional",NA,NA,27.4491107490608,1533,25.2151758973775,29.683045600744,1.13976267943022,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2019","Total","22 to 29","Total","sec","Lower professional",NA,NA,28.2384993668542,1572,26.0131594228875,30.4638393108209,1.13537752243197,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2020","Total","22 to 29","Total","sec","Lower professional",NA,NA,30.4547303748295,1152,27.7971218458692,33.1123389037898,1.35592271885729,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2021","Total","22 to 29","Total","sec","Lower professional",NA,NA,27.0216470890773,1382,24.6803582905789,29.3629358875757,1.19453510127469,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2022","Total","22 to 29","Total","sec","Lower professional",NA,NA,28.2997847838042,1072,25.6032223829805,30.996347184628,1.37579714327744,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2014","Total","22 to 29","Total","sec","Intermediate",NA,NA,21.6212983203684,1439,19.494307617901,23.7482890228358,1.08519933799358,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2015","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.5844342354083,1441,20.4254829913381,24.7433854794785,1.10150573677051,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2016","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.4015084086757,1406,20.2221498822589,24.5808669350925,1.11191761551879,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2017","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.7043334524094,1375,20.4900323623634,24.9186345424553,1.12974545410508,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2018","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.6443415747702,1293,20.3630399956888,24.9256431538517,1.16392937708238,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2019","Total","22 to 29","Total","sec","Intermediate",NA,NA,21.4232789730858,1213,19.1143233106517,23.73223463552,1.17803860328273,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2020","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.1170033477476,871,19.3606717591459,24.8733349363493,1.40629162683759,"Percentage",NA
"DR33","Employment opportunities for young people","Country","K02000001","United Kingdom","2021","Total","22 to 29","Total","sec","Intermediate",NA,NA,22.9200517987197,1171,20.5126081614107,25.3274954360288,1.22828757005564,"Percentage",NA
