measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,label
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Bedfordshire and Hertfordshire,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,14.319,12.351,16.287,1217,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,14%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,"Berkshire, Buckinghamshire and Oxfordshire",sec_employed,Higher professional,itl2_current_geo,NA,quintile,5,2014-2022,17.709,15.853,19.565,1625,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,18%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Cheshire,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,13.533,11.045,16.022,726,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,14%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Cornwall and Isles of Scilly,sec_employed,Higher professional,itl2_current_geo,NA,quintile,2,2014-2022,9.937,7.069,12.805,418,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,10%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Cumbria,sec_employed,Higher professional,itl2_current_geo,NA,quintile,1,2014-2022,7.957,5.39,10.524,427,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,8%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Derbyshire and Nottinghamshire,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,12.396,10.802,13.99,1642,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,12%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Devon,sec_employed,Higher professional,itl2_current_geo,NA,quintile,3,2014-2022,11.8,9.566,14.034,801,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,12%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Dorset and Somerset,sec_employed,Higher professional,itl2_current_geo,NA,quintile,3,2014-2022,11.453,9.412,13.493,936,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,11%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,East Anglia,sec_employed,Higher professional,itl2_current_geo,NA,quintile,2,2014-2022,11.281,9.889,12.674,1982,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,11%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,East Wales,sec_employed,Higher professional,itl2_current_geo,NA,quintile,3,2014-2022,11.627,9.406,13.848,800,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,12%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,East Yorkshire and Northern Lincolnshire,sec_employed,Higher professional,itl2_current_geo,NA,quintile,1,2014-2022,9.035,6.923,11.147,708,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,9%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Eastern Scotland,sec_employed,Higher professional,itl2_current_geo,NA,quintile,3,2014-2022,11.832,10.2,13.463,1505,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,12%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Essex,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,12.878,11.042,14.714,1278,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,13%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,"Gloucestershire, Wiltshire and Bath/Bristol area",sec_employed,Higher professional,itl2_current_geo,NA,quintile,5,2014-2022,14.735,13.174,16.295,1982,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,15%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Greater Manchester,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,12.538,11.176,13.901,2270,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,13%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Hampshire and Isle of Wight,sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,13.239,11.415,15.063,1326,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,13%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,"Herefordshire, Worcestershire and Warwickshire",sec_employed,Higher professional,itl2_current_geo,NA,quintile,4,2014-2022,13.034,11.001,15.066,1054,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,13%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Highlands and Islands,sec_employed,Higher professional,itl2_current_geo,NA,quintile,1,2014-2022,5.482,2.311,8.652,198,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,5%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Inner London - East,sec_employed,Higher professional,itl2_current_geo,NA,quintile,5,2014-2022,23.961,22.008,25.914,1835,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,24%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Inner London - West,sec_employed,Higher professional,itl2_current_geo,NA,quintile,5,2014-2022,29.673,26.247,33.099,683,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,30%
dr33,Type of employment opportunities for young people,geography_caterpillar,TLH2,ITL2,Kent,sec_employed,Higher professional,itl2_current_geo,NA,quintile,2,2014-2022,9.991,8.162,11.82,1033,Percent,NA,"sec_employed, itl2_current_geo",rweight,22-29,2014-2022,10%
