measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,label
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Bedfordshire and Hertfordshire,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,3,2014-2022,12.591,10.652,14.531,1124,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,13%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,"Berkshire, Buckinghamshire and Oxfordshire",unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,10.668,9.045,12.292,1389,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,11%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Cheshire,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,9.88,7.535,12.225,622,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,10%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Cornwall and Isles of Scilly,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,3,2014-2022,12.405,9.318,15.492,438,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Cumbria,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,3,2014-2022,13.079,9.657,16.501,373,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,13%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Derbyshire and Nottinghamshire,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,4,2014-2022,14.13,12.308,15.953,1403,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,14%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Devon,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,11.638,9.436,13.84,815,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Dorset and Somerset,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,2,2014-2022,12.367,10.203,14.531,889,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,East Anglia,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,4,2014-2022,14.616,12.988,16.243,1810,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,15%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,East Wales,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,3,2014-2022,13.566,11.069,16.064,722,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,14%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,East Yorkshire and Northern Lincolnshire,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,5,2014-2022,19.207,16.089,22.326,613,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,19%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Eastern Scotland,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,2,2014-2022,11.9,10.101,13.7,1244,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Essex,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,11.45,9.592,13.307,1129,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,11%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,"Gloucestershire, Wiltshire and Bath/Bristol area",unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,11.36,9.848,12.872,1692,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,11%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Greater Manchester,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,4,2014-2022,15.703,13.988,17.418,1729,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,16%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Hampshire and Isle of Wight,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,11.689,9.898,13.479,1237,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,"Herefordshire, Worcestershire and Warwickshire",unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,11.306,9.225,13.386,890,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,11%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Highlands and Islands,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,1,2014-2022,7.112,3.833,10.391,236,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,7%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Inner London - East,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,5,2014-2022,17.432,15.021,19.843,951,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,17%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Inner London - West,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,4,2014-2022,14.273,10.441,18.106,320,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,14%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Kent,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,3,2014-2022,13.522,11.411,15.633,1008,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,14%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Lancashire,unemp_binary,Unemployed,itl2_current_geo,NA,quintile,2,2014-2022,11.876,9.858,13.893,988,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2022,12%
