Region,Percentage (%)
Bedfordshire and Hertfordshire,12.591
"Berkshire, Buckinghamshire and Oxfordshire",10.668
Cheshire,9.88
Cornwall and Isles of Scilly,12.405
Cumbria,13.079
Derbyshire and Nottinghamshire,14.13
Devon,11.638
Dorset and Somerset,12.367
East Anglia,14.616
East Wales,13.566
East Yorkshire and Northern Lincolnshire,19.207
Eastern Scotland,11.9
Essex,11.45
"Gloucestershire, Wiltshire and Bath/Bristol area",11.36
Greater Manchester,15.703
Hampshire and Isle of Wight,11.689
"Herefordshire, Worcestershire and Warwickshire",11.306
Highlands and Islands,7.112
Inner London - East,17.432
Inner London - West,14.273
Kent,13.522
Lancashire,11.876
"Leicestershire, Rutland and Northamptonshire",12.847
Lincolnshire,12.018
Merseyside,13.557
North Eastern Scotland,11.848
North Yorkshire,9.245
Northern Ireland,11.785
"Northumberland, and Tyne and Wear",16.652
Outer London - East and North East,21.277
Outer London - South,17.849
Outer London - West and North West,19.648
Shropshire and Staffordshire,13.972
South Yorkshire,14.364
Southern Scotland,13.812
"Surrey, East and West Sussex",11.964
Tees Valley and Durham,19.223
West Central Scotland,12.398
West Midlands,19.868
West Wales and The Valleys,14.585
West Yorkshire,15.033
