"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",17561.15,15658.63,19463.67,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",20252.829,18376.101,22129.557,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",21625.112,19774.147,23476.077,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",22593.693,20638.87,24548.516,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",26884.704,24974.95,28794.459,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",19190.045,17547.424,20832.666,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",21989.391,20377.398,23601.384,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",23416.566,21841.411,24991.72,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",24423.889,22714.122,26133.657,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",28886.541,27223.298,30549.784,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",20690.605,19239.136,22142.075,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",23597.619,22181.532,25013.706,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",25079.685,23713.924,26445.445,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",26125.752,24591.407,27660.097,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",30760.044,29271.604,32248.485,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",22062.832,20732.896,23392.768,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",25077.513,23786.798,26368.228,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",26614.47,25388.845,27840.095,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",27699.28,26271.944,29126.616,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",32505.213,31120.469,33889.957,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",23306.725,22035.126,24578.324,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",26429.073,25198.893,27659.252,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",28020.921,26870.016,29171.826,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",29144.475,27764.205,30524.744,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",34122.048,32778.518,35465.577,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",24422.283,23159.859,25684.707,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",27652.298,26431.733,28872.863,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",29299.038,28169.933,30428.144,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",30461.335,29083.006,31839.663,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",35610.549,34261.464,36959.633,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",25409.508,24124.741,26694.274,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",28747.19,27503.434,29990.946,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",30448.821,29306.571,31591.072,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",31649.861,30245.359,33054.363,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",36970.715,35587.356,38354.075,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",26268.398,24946.002,27590.794,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",29713.748,28430.836,30996.659,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",31470.27,30297.565,32642.975,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",32710.053,31266.292,34153.815,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",38202.548,36771.91,39633.186,,"Predictive margins in pounds sterling",
