"Survey period","Age (years)","Lower working","","Higher working","","Intermediate","","Lower professional","","Higher professional",""
"","","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)"
"2022 to 2024","25","25025.731","17561.15","28088.168","20252.829","29236.375","21625.112","31677.412","22593.693","34856.909","26884.704"
"","26","26866.016","19190.045","30050.95","21989.391","31245.086","23416.566","33783.764","24423.889","37090.442","28886.541"
"","27","28574.669","20690.605","31882.101","23597.619","33122.165","25079.685","35758.484","26125.752","39192.342","30760.044"
"","28","30151.69","22062.832","33581.619","25077.513","34867.611","26614.47","37601.572","27699.28","41162.609","32505.213"
"","29","31597.078","23306.725","35149.505","26429.073","36481.425","28020.921","39313.028","29144.475","43001.245","34122.048"
"","30","32910.834","24422.283","36585.758","27652.298","37963.607","29299.038","40892.851","30461.335","44708.248","35610.549"
"","31","34092.958","25409.508","37890.38","28747.19","39314.157","30448.821","42341.042","31649.861","46283.619","36970.715"
"","32","35143.45","26268.398","39063.369","29713.748","40533.074","31470.27","43657.601","32710.053","47727.358","38202.548"
"","33","36062.309","26998.955","40104.725","30551.971","41620.359","32363.385","44842.528","33641.911","49039.464","39306.047"
"","34","36849.536","27601.177","41014.45","31261.861","42576.012","33128.166","45895.822","34445.435","50219.938","40281.211"
"","35","37505.131","28075.065","41792.542","31843.416","43400.033","33764.613","46817.484","35120.626","51268.78","41128.042"
"","36","38029.093","28420.62","42439.002","32296.638","44092.421","34272.725","47607.514","35667.481","52185.99","41846.538"
"","37","38421.424","28637.84","42953.83","32621.525","44653.177","34652.504","48265.911","36086.003","52971.567","42436.7"
"","38","38682.122","28726.726","43337.026","32818.078","45082.301","34903.949","48792.676","36376.191","53625.513","42898.529"
"","39","38811.188","28687.278","43588.589","32886.298","45379.792","35027.059","49187.809","36538.045","54147.825","43232.023"
"","40","38808.621","28519.496","43708.52","32826.183","45545.652","35021.836","49451.31","36571.565","54538.506","43437.183"
"","41","38674.422","28223.38","43696.818","32637.734","45579.879","34888.278","49583.179","36476.751","54797.554","43514.01"
"","42","38408.591","27798.93","43553.485","32320.951","45482.473","34626.387","49583.415","36253.602","54924.971","43462.502"
"","43","38011.128","27246.146","43278.519","31875.834","45253.436","34236.161","49452.019","35902.12","54920.754","43282.66"
"","44","37482.032","26565.028","42871.921","31302.383","44892.766","33717.602","49188.99","35422.304","54784.906","42974.484"
"2014 to 2016","25","17327.92","11706.225","20392.261","12720.137","20977.163","14315.562","25504.886","16943.075","28516.888","19323.858"
"","26","18618.172","12759.451","21805.087","13813.919","22413.385","15473.162","27122.217","18205.775","30254.699","20681.79"
"","27","19834.587","13740.403","23144.075","14835.427","23775.77","16558.487","28665.71","19396.201","31918.672","21967.447"
"","28","20977.164","14649.08","24409.225","15784.661","25064.316","17571.537","30135.366","20514.352","33508.807","23180.829"
"","29","22045.903","15485.483","25600.538","16661.62","26279.025","18512.314","31531.184","21560.228","35025.105","24321.937"
"","30","23040.805","16249.611","26718.014","17466.305","27419.897","19380.815","32853.164","22533.831","36467.566","25390.771"
"","31","23961.869","16941.464","27761.651","18198.715","28486.93","20177.042","34101.307","23435.158","37836.189","26387.33"
"","32","24809.095","17561.044","28731.451","18858.851","29480.127","20900.995","35275.612","24264.211","39130.974","27311.614"
"","33","25582.484","18108.348","29627.414","19446.712","30399.485","21552.673","36376.08","25020.99","40351.921","28163.624"
"","34","26282.035","18583.378","30449.539","19962.298","31245.006","22132.077","37402.71","25705.494","41499.031","28943.36"
"","35","26907.749","18986.134","31197.826","20405.61","32016.69","22639.206","38355.502","26317.724","42572.304","29650.821"
"","36","27459.625","19316.615","31872.276","20776.648","32714.536","23074.061","39234.457","26857.679","43571.739","30286.007"
"","37","27937.664","19574.822","32472.888","21075.411","33338.544","23436.641","40039.574","27325.36","44497.336","30848.919"
"","38","28341.865","19760.754","32999.663","21301.9","33888.715","23726.946","40770.853","27720.766","45349.096","31339.557"
"","39","28672.228","19874.412","33452.6","21456.114","34365.048","23944.978","41428.295","28043.898","46127.018","31757.92"
"","40","28928.754","19915.795","33831.699","21538.053","34767.543","24090.734","42011.9","28294.755","46831.102","32104.008"
"","41","29111.442","19884.903","34136.961","21547.719","35096.201","24164.216","42521.667","28473.337","47461.349","32377.822"
"","42","29220.293","19781.737","34368.385","21485.109","35351.021","24165.424","42957.596","28579.645","48017.758","32579.362"
"","43","29255.306","19606.297","34525.972","21350.225","35532.004","24094.357","43319.687","28613.679","48500.33","32708.627"
"","44","29216.481","19358.582","34609.721","21143.067","35639.149","23951.016","43607.941","28575.438","48909.064","32765.617"
