ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25,Men,NA,NA,NA,NA,0.47870743642344377,NA,0.46501195751148905,0.4924029153353984,0.006987617639907093,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,26,Men,NA,NA,NA,NA,0.5072984167996502,NA,0.4953831919531014,0.5192136416461989,0.006079308058992172,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,27,Men,NA,NA,NA,NA,0.5343043558006715,NA,0.5237380596793536,0.5448706519219894,0.005391066470947173,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,28,Men,NA,NA,NA,NA,0.5595886844862588,NA,0.5499112967722763,0.5692660722002412,0.004937533439551113,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,29,Men,NA,NA,NA,NA,0.5830667338047832,NA,0.5738619722350172,0.5922714953745493,0.004696393220677527,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,30,Men,NA,NA,NA,NA,0.6046984778226357,NA,0.5956548009254341,0.6137421547198374,0.004614205653030878,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,31,Men,NA,NA,NA,NA,0.6244804340919826,NA,0.6154123929570224,0.6335484752269428,0.004626636615002995,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,32,Men,NA,NA,NA,NA,0.642437509461912,NA,0.6332685847006948,0.6516064342231292,0.004678108798702694,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,33,Men,NA,NA,NA,NA,0.6586153461556202,NA,0.6493437091519243,0.6678869831593162,0.004730513967006218,Predictive margins,NA
IN42,Occupational progression,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,34,Men,NA,NA,NA,NA,0.6730735057896774,NA,0.6637382488317303,0.6824087627476245,0.004762973723794136,Predictive margins,NA
