"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.206,0.183,0.228,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.272,0.251,0.293,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.291,0.273,0.309,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.394,0.376,0.411,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.444,0.43,0.459,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.219,0.199,0.238,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.291,0.272,0.309,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.311,0.295,0.327,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.421,0.406,0.437,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.475,0.461,0.488,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.231,0.213,0.248,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.309,0.292,0.325,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.33,0.316,0.345,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.448,0.433,0.462,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.504,0.491,0.516,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.242,0.226,0.259,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.326,0.31,0.341,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.349,0.336,0.362,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.473,0.459,0.486,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.531,0.519,0.543,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.253,0.238,0.269,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.342,0.327,0.357,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.366,0.354,0.379,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.496,0.483,0.509,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.556,0.545,0.568,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.263,0.247,0.278,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.357,0.342,0.371,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.382,0.37,0.395,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.518,0.505,0.531,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.58,0.568,0.592,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.271,0.256,0.287,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.37,0.355,0.385,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.397,0.384,0.41,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower professional","sex","Men","year","2014 to 2016","2014 to 2024",0.538,0.525,0.552,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher professional","sex","Men","year","2014 to 2016","2014 to 2024",0.601,0.589,0.613,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.279,0.263,0.294,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher working","sex","Men","year","2014 to 2016","2014 to 2024",0.382,0.367,0.398,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Intermediate","sex","Men","year","2014 to 2016","2014 to 2024",0.411,0.397,0.424,,"Predictive margins",
