"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",0.328,0.299,0.356,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",0.388,0.359,0.416,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",0.418,0.39,0.445,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",0.496,0.468,0.523,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",0.553,0.527,0.579,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",0.337,0.312,0.361,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",0.4,0.375,0.424,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",0.431,0.408,0.454,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",0.513,0.488,0.537,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",0.572,0.55,0.594,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",0.345,0.323,0.366,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",0.411,0.39,0.432,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",0.444,0.423,0.464,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",0.528,0.506,0.55,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",0.59,0.57,0.61,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",0.352,0.332,0.371,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",0.421,0.402,0.44,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",0.455,0.437,0.473,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Women","year","2022 to 2024","2014 to 2024",0.543,0.523,0.563,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Women","year","2022 to 2024","2014 to 2024",0.606,0.587,0.625,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Women","year","2022 to 2024","2014 to 2024",0.358,0.339,0.376,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Women","year","2022 to 2024","2014 to 2024",0.43,0.412,0.448,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Women","year","2022 to 2024","2014 to 2024",0.465,0.448,0.482,,"Predictive margins",
