"Survey period","Age (years)","Lower working","","Higher working","","Intermediate","","Lower professional","","Higher professional",""
"","","Men (%)","Women (%)","Men (%)","Women (%)","Men (%)","Women (%)","Men (%)","Women (%)","Men (%)","Women (%)"
"2022 to 2024","25","30.8","32.8","34.6","38.8","37.8","41.8","46.7","49.6","54.1","55.3"
"","26","32.5","33.7","36.5","40","39.8","43.1","49.3","51.3","56.9","57.2"
"","27","34","34.5","38.2","41.1","41.8","44.4","51.7","52.8","59.6","59"
"","28","35.4","35.2","39.9","42.1","43.6","45.5","53.9","54.3","61.9","60.6"
"","29","36.6","35.8","41.4","43","45.3","46.5","55.9","55.6","64.1","62.1"
"","30","37.7","36.3","42.7","43.7","46.8","47.4","57.8","56.8","66.1","63.5"
"","31","38.7","36.6","43.9","44.4","48.1","48.2","59.4","57.9","67.9","64.7"
"","32","39.5","36.9","44.9","45","49.2","48.9","60.9","58.9","69.4","65.8"
"","33","40.1","37.1","45.7","45.4","50.2","49.5","62.1","59.8","70.8","66.8"
"","34","40.6","37.1","46.3","45.7","51","49.9","63.2","60.5","72","67.7"
"","35","40.9","37.1","46.8","45.9","51.6","50.3","64.1","61.1","73","68.4"
"","36","41","36.9","47.1","46","52.1","50.5","64.9","61.6","73.9","69.1"
"","37","41","36.7","47.3","46","52.3","50.6","65.5","62","74.6","69.6"
"","38","40.8","36.3","47.2","45.8","52.4","50.5","65.9","62.3","75.2","70.1"
"","39","40.4","35.8","47","45.6","52.3","50.4","66.1","62.4","75.6","70.4"
"","40","39.9","35.2","46.6","45.2","52.1","50.1","66.2","62.5","75.9","70.7"
"","41","39.2","34.5","46","44.7","51.7","49.8","66.2","62.4","76.1","70.8"
"","42","38.3","33.7","45.3","44.1","51.1","49.3","66","62.3","76.1","70.8"
"","43","37.3","32.8","44.4","43.4","50.3","48.7","65.6","62","76","70.8"
"","44","36.1","31.9","43.3","42.5","49.3","47.9","65.1","61.6","75.8","70.6"
"2014 to 2016","25","20.6","21.5","27.2","27.4","29.1","30.3","39.4","40.4","44.4","43.6"
"","26","21.9","22.6","29.1","28.9","31.1","32.1","42.1","42.8","47.5","46.2"
"","27","23.1","23.6","30.9","30.4","33","33.7","44.8","45.1","50.4","48.6"
"","28","24.2","24.5","32.6","31.7","34.9","35.3","47.3","47.2","53.1","50.9"
"","29","25.3","25.2","34.2","32.9","36.6","36.7","49.6","49.1","55.6","53"
"","30","26.3","25.9","35.7","34","38.2","37.9","51.8","50.9","58","54.9"
"","31","27.1","26.5","37","34.9","39.7","39","53.8","52.5","60.1","56.6"
"","32","27.9","26.9","38.2","35.7","41.1","40","55.6","54","62.1","58.1"
"","33","28.5","27.1","39.3","36.3","42.2","40.8","57.3","55.2","63.8","59.5"
"","34","29","27.3","40.2","36.8","43.3","41.4","58.7","56.3","65.4","60.7"
"","35","29.3","27.3","41","37.1","44.1","41.8","60","57.2","66.8","61.6"
"","36","29.5","27.1","41.6","37.2","44.8","42.1","61.2","57.9","68","62.4"
"","37","29.6","26.8","42","37.2","45.4","42.2","62.1","58.4","69","63.1"
"","38","29.5","26.4","42.3","37","45.7","42.1","62.9","58.8","69.9","63.5"
"","39","29.3","25.9","42.4","36.6","46","41.9","63.5","58.9","70.6","63.8"
"","40","28.9","25.2","42.3","36.1","46","41.5","64","58.9","71.2","64"
"","41","28.5","24.4","42.1","35.4","45.9","40.9","64.3","58.8","71.7","63.9"
"","42","27.9","23.5","41.7","34.5","45.6","40.1","64.4","58.5","72","63.8"
"","43","27.1","22.5","41.2","33.6","45.1","39.2","64.4","58","72.1","63.4"
"","44","26.3","21.4","40.5","32.4","44.5","38.1","64.3","57.3","72.2","62.9"
