ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,group
CI_promising_prospects,Promising prospects,Local Authority,171,Aberdeen city,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.071983713,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,172,Aberdeenshire,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.089618375,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,173,Angus,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.595143365,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,174,Argyll and Bute Islands,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.323335448,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,16,Barking and Dagenham,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.261754388,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,26,Barnet,2014-2022,Total,NA,Total,Group,Most Favourable,Z-score,-2.736612435,NA,NA,NA,NA,NA,Group,NA,5
CI_promising_prospects,Promising prospects,Local Authority,73,Barnsley,2014-2022,Total,NA,Total,Group,Least Favourable,Z-score,1.78919077,NA,NA,NA,NA,NA,Group,NA,1
CI_promising_prospects,Promising prospects,Local Authority,137,Bath and North East Somerset,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.247697074,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,112,Bedford,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.798060881,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,14,Bexley,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.297692157,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,99,Birmingham,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.375393886,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,43,Blackburn with Darwen,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.476933464,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,44,Blackpool,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.117437781,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,166,Blaenau Gwent,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.584579936,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,38,Bolton,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.215563984,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,141,"Bournemouth, Christchurch and Poole",2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.376719318,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,118,Bracknell Forest,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.746033209,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,77,Bradford,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.863818274,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,27,Brent,2014-2022,Total,NA,Total,Group,Most Favourable,Z-score,-2.595757503,NA,NA,NA,NA,NA,Group,NA,5
CI_promising_prospects,Promising prospects,Local Authority,161,Bridgend,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.765263003,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,126,Brighton and Hove,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.223065006,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,136,Bristol,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.13227166,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,21,Bromley,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.950306647,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,117,Buckinghamshire,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.828132737,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,40,Bury,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.418221314,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,165,Caerphilly,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.919857423,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,79,Calderdale,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.217593579,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,110,Cambridgeshire county council,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.462216784,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,1,Camden and City of London,2014-2022,Total,NA,Total,Group,Most Favourable,Z-score,-2.068972258,NA,NA,NA,NA,NA,Group,NA,5
CI_promising_prospects,Promising prospects,Local Authority,170,Cardiff,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.445109374,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,158,Carmarthenshire county council,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.320492463,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,113,Central Bedfordshire,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.420926673,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,156,Ceredigion county council,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.51644716,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,46,Cheshire East,2014-2022,Total,NA,Total,Group,Favourable,Z-score,-1.008659037,NA,NA,NA,NA,NA,Group,NA,4
CI_promising_prospects,Promising prospects,Local Authority,47,Cheshire West and Chester,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.59312736,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,184,Edinburgh city,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.81674992,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,176,Clackmannanshire,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.727187876,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,151,Conwy,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.260346487,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,142,Cornwall and Isles of Scilly,2014-2022,Total,NA,Total,Group,Least Favourable,Z-score,1.401719722,NA,NA,NA,NA,NA,Group,NA,1
CI_promising_prospects,Promising prospects,Local Authority,101,Coventry,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.870178395,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,22,Croydon,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,-0.965991493,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,67,Cumbria county council,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.794034476,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,60,Darlington,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.406718068,NA,NA,NA,NA,NA,Group,NA,3
CI_promising_prospects,Promising prospects,Local Authority,152,Denbighshire county council,2014-2022,Total,NA,Total,Group,Middle Group,Z-score,0.458645436,NA,NA,NA,NA,NA,Group,NA,3
