"Ethnicity","Percentage (%)"
"Any other ethnic group",47
"Asian - Any other Asian",56
"Asian - Bangladeshi",66
"Asian - Chinese",73
"Asian - Indian",64
"Asian - Pakistani",55
"Black - Any other Black background",54
"Black - Black African",61
"Black - Black Caribbean",48
"Mixed - Any other Mixed background",53
"Mixed - White and Asian",53
"Mixed - White and Black African",52
"Mixed - White and Black Caribbean",43
"White - Any other White background",47
"White - Gypsy or Roma",14
"White - Irish",35
"White - Traveller of Irish heritage",16
"White - White British",41
