"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label","time_period_formatted"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2016,,,,,2016,39,,,"186503","Percentage",,,,,,"39%","2015/16"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2017,,,,,2017,47,,,"189272","Percentage",,,,,,"47%","2016/17"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2018,,,,,2018,51,,,"190528","Percentage",,,,,,"51%","2017/18"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2019,,,,,2019,51,,,"197294","Percentage",,,,,,"51%","2018/19"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2020,,,,,2020,,,,"x","Percentage",,,,,,"NA%","2019/20"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2021,,,,,2021,,,,"x","Percentage",,,,,,"NA%","2020/21"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2022,,,,,2022,43,,,"197916","Percentage",,,,,,"43%","2021/22"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2023,,,,,2023,44,,,"203690","Percentage",,,,,,"44%","2022/23"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2024,,,,,2024,46,,,"203261","Percentage",,,,,,"46%","2023/24"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2016,,,,,2016,60,,,"399077","Percentage",,,,,,"60%","2015/16"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2017,,,,,2017,67,,,"409836","Percentage",,,,,,"67%","2016/17"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2018,,,,,2018,70,,,"428831","Percentage",,,,,,"70%","2017/18"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2019,,,,,2019,71,,,"447286","Percentage",,,,,,"71%","2018/19"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2020,,,,,2020,,,,"x","Percentage",,,,,,"NA%","2019/20"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2021,,,,,2021,,,,"x","Percentage",,,,,,"NA%","2020/21"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2022,,,,,2022,66,,,"466266","Percentage",,,,,,"66%","2021/22"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2023,,,,,2023,66,,,"467278","Percentage",,,,,,"66%","2022/23"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2024,,,,,2024,67,,,"458238","Percentage",,,,,,"67%","2023/24"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2016,,,,,2016,53,,,"585580","Percentage",,,,,,"53%","2015/16"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2017,,,,,2017,61,,,"599108","Percentage",,,,,,"61%","2016/17"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2018,,,,,2018,64,,,"619359","Percentage",,,,,,"64%","2017/18"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2019,,,,,2019,65,,,"644580","Percentage",,,,,,"65%","2018/19"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2020,,,,,2020,,,,"x","Percentage",,,,,,"NA%","2019/20"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2021,,,,,2021,,,,"x","Percentage",,,,,,"NA%","2020/21"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2022,,,,,2022,59,,,"664182","Percentage",,,,,,"59%","2021/22"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2023,,,,,2023,60,,,"670968","Percentage",,,,,,"60%","2022/23"
"in12","Attainment at age 11","trend","E92000001","Country","England","seb","Total","time_period",2024,,,,,2024,61,,,"661499","Percentage",,,,,,"61%","2023/24"
