"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","time_period_formatted","value_for_chart"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2011,,,,,,,2011,3.341,,,,"Disadvantage index",,"2010/11","3.341"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2012,,,,,,,2012,3.234,,,,"Disadvantage index",,"2011/12","3.234"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2013,,,,,,,2013,3.159,,,,"Disadvantage index",,"2012/13","3.159"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2014,,,,,,,2014,3.153,,,,"Disadvantage index",,"2013/14","3.153"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2015,,,,,,,2015,3.103,,,,"Disadvantage index",,"2014/15","3.103"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2016,,,,,,,2016,3.025,,,,"Disadvantage index",,"2015/16","3.025"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2017,,,,,,,2017,2.999,,,,"Disadvantage index",,"2016/17","2.999"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2018,,,,,,,2018,2.898,,,,"Disadvantage index",,"2017/18","2.898"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2019,,,,,,,2019,2.913,,,,"Disadvantage index",,"2018/19","2.913"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2020,,,,,,,2020,,,,,"Disadvantage index",,"2019/20","x"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2021,,,,,,,2021,,,,,"Disadvantage index",,"2020/21","x"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2022,,,,,,,2022,3.228,,,,"Disadvantage index",,"2021/22","3.228"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2023,,,,,,,2023,3.209,,,,"Disadvantage index",,"2022/23","3.209"
"in12","Attainment at age 11","index_trend","E92000001","Country","England","time_period",2024,,,,,,,2024,3.131,,,,"Disadvantage index",,"2023/24","3.131"
