ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile,Quintile_number
IN13,Attainment at age 16,ITL2,NA,Bedfordshire and Hertfordshire,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.246984492,3482,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,"Berkshire, Buckinghamshire and Oxfordshire",202223,FSM eligible,16,Total,NA,NA,NA,NA,0.244944971,3907,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,Cheshire,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.183537264,1798,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Cornwall and Isles of Scilly,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.192028986,1104,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Cumbria,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.186421174,869,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Derbyshire and Nottinghamshire,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.206970128,5624,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Devon,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.205116492,2189,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Dorset and Somerset,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.220155709,2312,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,East Anglia,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.214314115,5030,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,East Yorkshire and Northern Lincolnshire,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.205974843,2544,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Essex,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.206130484,3556,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,"Gloucestershire, Wiltshire and Bath/Bristol area",202223,FSM eligible,16,Total,NA,NA,NA,NA,0.210502073,4342,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Greater Manchester,202223,FSM eligible,16,Total,NA,NA,NA,NA,0.252270851,9688,NA,NA,NA,Percentage,NA,Q4,4
