ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile,Quintile_number
IN13,Attainment at age 16,ITL2,NA,Bedfordshire and Hertfordshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.549522109,19042,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,"Berkshire, Buckinghamshire and Oxfordshire",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.566463029,23735,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Cheshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.508478487,8669,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,Cornwall and Isles of Scilly,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.444907814,4556,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Cumbria,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.440623567,4362,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Derbyshire and Nottinghamshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.491948791,17575,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Devon,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.506897993,9568,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,Dorset and Somerset,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.488219021,10483,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,East Anglia,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.476031598,20381,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,East Yorkshire and Northern Lincolnshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.450510605,7638,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,Essex,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.49440199,16881,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,"Gloucestershire, Wiltshire and Bath/Bristol area",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.515826768,21451,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,Greater Manchester,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.498160412,24462,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,Hampshire and Isle of Wight,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.482349186,15665,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,"Herefordshire, Worcestershire and Warwickshire",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.513635589,11734,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,Inner London - East,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.574505366,13697,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Inner London - West,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.649856734,5235,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Kent,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.525827892,17152,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,Lancashire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.489597132,12833,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,"Leicestershire, Rutland and Northamptonshire",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.477929898,17603,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
