Ethnicity,FSM eligible (%),Not known to be FSM eligible (%)
Asian - Bangladeshi,48.8,61.2
Asian - Chinese,75.3,78.5
Asian - Indian,48.6,72.1
Asian - Pakistani,36.2,49.6
Asian - Any other Asian background,44,67.3
Black - Black African,42,53.9
Black - Black Caribbean,22.2,36.9
Black - Any other Black background,29.1,45.4
Mixed - White and Asian,33,62.6
Mixed - White and Black African,29.7,51.5
Mixed - White and Black Caribbean,19.2,37.7
Mixed - Any other Mixed background,31.3,56.1
White - White British,18,48.9
White - Irish,19.4,62.3
White - Gypsy/Roma,3.3,12.7
White - Traveller of Irish heritage,9.5,33.3
White - Any other White background,30.6,51
