"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in13","Attainment at age 16","geography_map",,"ITL2","Bedfordshire and Hertfordshire","seb","FSM eligible","area_name","Bedfordshire and Hertfordshire","quintile",4,,,2024,25.608,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","seb","FSM eligible","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile",4,,,2024,25.344,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Cheshire","seb","FSM eligible","area_name","Cheshire","quintile",1,,,2024,18.334,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Cornwall and Isles of Scilly","seb","FSM eligible","area_name","Cornwall and Isles of Scilly","quintile",2,,,2024,20.962,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Cumbria","seb","FSM eligible","area_name","Cumbria","quintile",1,,,2024,18.297,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Derbyshire and Nottinghamshire","seb","FSM eligible","area_name","Derbyshire and Nottinghamshire","quintile",2,,,2024,21.651,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Devon","seb","FSM eligible","area_name","Devon","quintile",3,,,2024,22.613,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Dorset and Somerset","seb","FSM eligible","area_name","Dorset and Somerset","quintile",4,,,2024,24.192,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","East Anglia","seb","FSM eligible","area_name","East Anglia","quintile",2,,,2024,21.61,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","East Yorkshire and Northern Lincolnshire","seb","FSM eligible","area_name","East Yorkshire and Northern Lincolnshire","quintile",2,,,2024,20.843,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Essex","seb","FSM eligible","area_name","Essex","quintile",1,,,2024,20.709,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","seb","FSM eligible","area_name","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",2,,,2024,21.493,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Greater Manchester","seb","FSM eligible","area_name","Greater Manchester","quintile",4,,,2024,26.672,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Hampshire and Isle of Wight","seb","FSM eligible","area_name","Hampshire and Isle of Wight","quintile",1,,,2024,19.099,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Herefordshire, Worcestershire and Warwickshire","seb","FSM eligible","area_name","Herefordshire, Worcestershire and Warwickshire","quintile",1,,,2024,20.372,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Inner London - East","seb","FSM eligible","area_name","Inner London - East","quintile",5,,,2024,41.967,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Inner London - West","seb","FSM eligible","area_name","Inner London - West","quintile",5,,,2024,45.292,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Kent","seb","FSM eligible","area_name","Kent","quintile",3,,,2024,22.319,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Lancashire","seb","FSM eligible","area_name","Lancashire","quintile",2,,,2024,21.321,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Leicestershire, Rutland and Northamptonshire","seb","FSM eligible","area_name","Leicestershire, Rutland and Northamptonshire","quintile",3,,,2024,23.955,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Lincolnshire","seb","FSM eligible","area_name","Lincolnshire","quintile",2,,,2024,20.839,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Merseyside","seb","FSM eligible","area_name","Merseyside","quintile",1,,,2024,18.777,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","North Yorkshire","seb","FSM eligible","area_name","North Yorkshire","quintile",3,,,2024,22.158,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Northumberland, and Tyne and Wear","seb","FSM eligible","area_name","Northumberland, and Tyne and Wear","quintile",3,,,2024,23.469,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Outer London - East and North East","seb","FSM eligible","area_name","Outer London - East and North East","quintile",5,,,2024,34.684,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Outer London - South","seb","FSM eligible","area_name","Outer London - South","quintile",5,,,2024,32.868,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Outer London - West and North West","seb","FSM eligible","area_name","Outer London - West and North West","quintile",5,,,2024,39.313,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","Shropshire and Staffordshire","seb","FSM eligible","area_name","Shropshire and Staffordshire","quintile",1,,,2024,19.384,,,,"Percent",
"in13","Attainment at age 16","geography_map",,"ITL2","South Yorkshire","seb","FSM eligible","area_name","South Yorkshire","quintile",3,,,2024,22.113,,,,"Percent",
