"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","time_period_formatted"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2019,,,,,2019,24.8,,,143317,"Percentage",,"2018/19"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2020,,,,,2020,30.4,,,146214,"Percentage",,"2019/20"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2021,,,,,2021,31.7,,,151973,"Percentage",,"2020/21"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2022,,,,,2022,29.7,,,154167,"Percentage",,"2021/22"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2023,,,,,2023,25.4,,,157963,"Percentage",,"2022/23"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Disadvantaged","time_period",2024,,,,,2024,26,,,164599,"Percentage",,"2023/24"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2019,,,,,2019,50.1,,,396729,"Percentage",,"2018/19"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2020,,,,,2020,56.8,,,415780,"Percentage",,"2019/20"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2021,,,,,2021,59.2,,,423890,"Percentage",,"2020/21"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2022,,,,,2022,57.2,,,431034,"Percentage",,"2021/22"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2023,,,,,2023,52.6,,,445650,"Percentage",,"2022/23"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Not known to be disadvantaged","time_period",2024,,,,,2024,53.4,,,459751,"Percentage",,"2023/24"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2019,,,,,2019,43.4,,,540046,"Percentage",,"2018/19"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2020,,,,,2020,49.9,,,561994,"Percentage",,"2019/20"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2021,,,,,2021,51.9,,,575863,"Percentage",,"2020/21"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2022,,,,,2022,50,,,585201,"Percentage",,"2021/22"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2023,,,,,2023,45.5,,,603613,"Percentage",,"2022/23"
"in13","Attainment at age 16","trend","E92000001","Country","England","seb","Total","time_period",2024,,,,,2024,46.2,,,624350,"Percentage",,"2023/24"
