Region,FSM eligible (%),Not FSM eligible (%)
Bedfordshire and Hertfordshire,46.82713348,70.1170117
"Berkshire, Buckinghamshire and Oxfordshire",49.09568261,72.74404493
Cheshire,49.09847434,72.64800367
Cornwall and Isles of Scilly,48.62155388,71.27564674
Cumbria,45.93373494,68.99082569
Derbyshire and Nottinghamshire,51.9804878,70.79897482
Devon,47.12070875,70.41238206
Dorset and Somerset,48.91876096,71.9828816
East Anglia,47.73624332,70.61802495
East Yorkshire and Northern Lincolnshire,53.73737374,71.53396082
Essex,50.0863061,73.17573341
"Gloucestershire, Wiltshire and Bath/Bristol area",46.83219178,72.66395058
Greater Manchester,50.72556008,68.11921341
Hampshire and Isle of Wight,51.76204332,73.99105743
"Herefordshire, Worcestershire and Warwickshire",49.78070175,72.69189368
Inner London - East,60.41742287,73.41407151
Inner London - West,57.58547009,74.36099096
Kent,51.47849462,72.4422349
Lancashire,49.60604071,68.22533957
"Leicestershire, Rutland and Northamptonshire",50.13634593,70.57367345
Lincolnshire,54.88767456,72.01972178
Merseyside,48.65187306,68.83852691
North Yorkshire,49.94350282,73.52398524
"Northumberland, and Tyne and Wear",51.98525241,71.82627081
Outer London - East and North East,58.29711071,71.73870334
Outer London - South,54.22063421,73.90840446
Outer London - West and North West,55.14138817,72.31334149
Shropshire and Staffordshire,52.416,71.63721858
South Yorkshire,51.98497854,72.14738855
"Surrey, East and West Sussex",47.45807825,74.66523195
Tees Valley and Durham,50.67354543,71.77254649
West Midlands,54.63456211,68.70873751
West Yorkshire,48.21325092,68.77361426
