"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",1,,,,,,,2024,58.4,,,77786,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",2,,,,,,,2024,61.8,,,71615,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",3,,,,,,,2024,63.9,,,67164,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",4,,,,,,,2024,65.9,,,65574,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",5,,,,,,,2024,68.5,,,60995,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",6,,,,,,,2024,69.9,,,57704,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",7,,,,,,,2024,71.8,,,54633,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",8,,,,,,,2024,73.1,,,51988,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",9,,,,,,,2024,75.1,,,51451,"Percentage",
"in11","Level of development at age 5","level_idaci","E92000001","Country","England","idaci_decile",10,,,,,,,2024,77,,,48223,"Percentage",
