ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,level_with_text
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,1,test,math,406,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 1
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,1,test,math,413,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 1
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,2,test,math,420,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 2
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,2,test,math,446,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 2
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,3.3,test,math,444,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.3
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,3.3,test,math,472,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.3
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,3.4,test,math,461,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.4
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,3.4,test,math,490,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.4
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,4,test,math,462,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 4
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,4,test,math,484,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 4
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,5,test,math,470,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 5
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,5,test,math,489,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 5
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,6,test,math,494,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 6
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,6,test,math,519,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 6
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,7,test,math,506,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 7
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,7,test,math,520,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 7
