"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower working",,,,,"2024",21.854,18.608,25.489,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher working",,,,,"2024",18.609,14.998,22.705,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Intermediate",,,,,"2024",12.331,9.994,15.274,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower professional",,,,,"2024",13.186,10.966,15.664,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional",,,,,"2024",8.647,6.816,10.879,787,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower working",,,,,"2024",44.433,40.331,48.556,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher working",,,,,"2024",51.164,46.167,55.981,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Intermediate",,,,,"2024",55.187,51.299,59.155,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower professional",,,,,"2024",56.638,53.191,60.009,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional",,,,,"2024",52.821,49.303,56.387,787,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working",,,,,"2024",33.713,29.925,37.763,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working",,,,,"2024",30.227,25.791,34.825,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate",,,,,"2024",32.482,28.898,36.309,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower professional",,,,,"2024",30.176,27.154,33.484,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional",,,,,"2024",38.532,35.103,42.013,787,"Percent",
