"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2024",8.755,6.364,11.93,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Chinese",,,"2014-2024",7.57,4.881,11.56,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Indian",,,"2014-2024",7.572,6.101,9.362,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Pakistani",,,"2014-2024",8.541,7.073,10.28,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Black African",,,"2014-2024",7.787,6.217,9.711,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2024",10.613,7.916,14.088,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Mixed",,,"2014-2024",10.659,9.017,12.56,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","White British",,,"2014-2024",9.447,8.762,10.18,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","White other",,,"2014-2024",8.11,6.731,9.742,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","NEET","1","seb","Higher professional","ethnicity","Other",,,"2014-2024",7.914,6.508,9.593,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2024",35.31,30.367,40.589,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Chinese",,,"2014-2024",29.416,23.479,36.145,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Indian",,,"2014-2024",37.786,34.214,41.496,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Pakistani",,,"2014-2024",32.075,28.911,35.413,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Black African",,,"2014-2024",29.361,26.141,32.803,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2024",44.716,39.401,50.155,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Mixed",,,"2014-2024",41.796,38.762,44.894,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","White British",,,"2014-2024",56.504,55.306,57.694,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","White other",,,"2014-2024",50.486,47.593,53.376,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Employment","1","seb","Higher professional","ethnicity","Other",,,"2014-2024",32.735,29.566,36.07,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2024",57.432,52.114,62.584,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Chinese",,,"2014-2024",64.374,57.585,70.632,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Indian",,,"2014-2024",56.115,52.459,59.706,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Pakistani",,,"2014-2024",60.826,57.456,64.096,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Black African",,,"2014-2024",64.495,60.946,67.892,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2024",44.754,39.274,50.365,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Mixed",,,"2014-2024",47.711,44.593,50.846,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","White British",,,"2014-2024",33.663,32.545,34.8,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","White other",,,"2014-2024",42.295,39.417,45.227,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","Education and training","1","seb","Higher professional","ethnicity","Other",,,"2014-2024",60.853,57.546,64.064,,"Percent",
