"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","neet","neet",,,"2014 to 2024",22.844,20.644,25.188,1352,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","neet","neet",,,"2014 to 2024",22.092,19.924,24.499,1248,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","neet","neet",,,"2014 to 2024",21.532,19.214,23.949,1110,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","neet","neet",,,"2014 to 2024",20.352,17.996,22.831,1010,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","neet","neet",,,"2014 to 2024",20.775,18.378,23.455,827,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","neet","neet",,,"2014 to 2024",20.797,18.361,23.422,753,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","neet","neet",,,"2014 to 2024",20.768,18.37,23.38,651,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","neet","neet",,,"2014 to 2024",20.959,18.568,23.624,574,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","neet","neet",,,"2014 to 2024",21.997,19.596,24.657,524,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","neet","neet",,,"2014 to 2024",15.252,13.354,17.34,1287,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","neet","neet",,,"2014 to 2024",13.993,12.13,16.013,1211,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","neet","neet",,,"2014 to 2024",13.746,11.878,15.858,1103,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","neet","neet",,,"2014 to 2024",14.594,12.678,16.815,1056,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","neet","neet",,,"2014 to 2024",14.223,12.252,16.39,915,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","neet","neet",,,"2014 to 2024",13.141,11.199,15.387,794,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","neet","neet",,,"2014 to 2024",12.092,10.032,14.386,608,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","neet","neet",,,"2014 to 2024",13.916,11.583,16.549,472,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","neet","neet",,,"2014 to 2024",17.029,14.469,19.954,381,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","neet","neet",,,"2014 to 2024",12.704,11.001,14.542,1399,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.828,10.195,13.679,1304,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.307,9.675,13.187,1191,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.552,9.878,13.472,1139,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.662,9.929,13.615,988,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","neet","neet",,,"2014 to 2024",12.001,10.269,14.024,950,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.338,9.621,13.246,867,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","neet","neet",,,"2014 to 2024",11.961,10.234,14.009,772,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","neet","neet",,,"2014 to 2024",12.28,10.473,14.33,637,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.15,8.632,11.922,1346,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","neet","neet",,,"2014 to 2024",9.914,8.433,11.695,1287,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.423,8.868,12.244,1205,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.641,9.043,12.451,1171,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","neet","neet",,,"2014 to 2024",11.127,9.54,12.954,1096,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.933,9.395,12.759,1128,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.76,9.179,12.55,1017,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","neet","neet",,,"2014 to 2024",10.977,9.309,12.855,839,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","neet","neet",,,"2014 to 2024",11.901,10.221,13.831,715,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","neet","neet",,,"2014 to 2024",8.511,6.948,10.286,1129,"Average","3-year moving average","2014 to 2016"
