"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower working","neet","neet",,,"2014 to 2024",22.844,20.644,25.188,1352,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher working","neet","neet",,,"2014 to 2024",15.252,13.354,17.34,1287,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Intermediate","neet","neet",,,"2014 to 2024",12.704,11.001,14.542,1399,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower professional","neet","neet",,,"2014 to 2024",10.15,8.632,11.922,1346,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher professional","neet","neet",,,"2014 to 2024",8.511,6.948,10.286,1129,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower working","neet","neet",,,"2014 to 2024",22.092,19.924,24.499,1248,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher working","neet","neet",,,"2014 to 2024",13.993,12.13,16.013,1211,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Intermediate","neet","neet",,,"2014 to 2024",11.828,10.195,13.679,1304,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower professional","neet","neet",,,"2014 to 2024",9.914,8.433,11.695,1287,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher professional","neet","neet",,,"2014 to 2024",8.642,7.141,10.462,1123,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower working","neet","neet",,,"2014 to 2024",21.532,19.214,23.949,1110,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working","neet","neet",,,"2014 to 2024",13.746,11.878,15.858,1103,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate","neet","neet",,,"2014 to 2024",11.307,9.675,13.187,1191,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional","neet","neet",,,"2014 to 2024",10.423,8.868,12.244,1205,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional","neet","neet",,,"2014 to 2024",8.546,7.02,10.308,1086,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working","neet","neet",,,"2014 to 2024",20.352,17.996,22.831,1010,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working","neet","neet",,,"2014 to 2024",14.594,12.678,16.815,1056,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Intermediate","neet","neet",,,"2014 to 2024",11.552,9.878,13.472,1139,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower professional","neet","neet",,,"2014 to 2024",10.641,9.043,12.451,1171,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher professional","neet","neet",,,"2014 to 2024",8.958,7.368,10.747,1045,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower working","neet","neet",,,"2014 to 2024",20.775,18.378,23.455,827,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher working","neet","neet",,,"2014 to 2024",14.223,12.252,16.39,915,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Intermediate","neet","neet",,,"2014 to 2024",11.662,9.929,13.615,988,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower professional","neet","neet",,,"2014 to 2024",11.127,9.54,12.954,1096,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher professional","neet","neet",,,"2014 to 2024",9.394,7.843,11.162,1022,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower working","neet","neet",,,"2014 to 2024",20.797,18.361,23.422,753,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher working","neet","neet",,,"2014 to 2024",13.141,11.199,15.387,794,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Intermediate","neet","neet",,,"2014 to 2024",12.001,10.269,14.024,950,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower professional","neet","neet",,,"2014 to 2024",10.933,9.395,12.759,1128,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher professional","neet","neet",,,"2014 to 2024",9.75,8.199,11.479,1098,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower working","neet","neet",,,"2014 to 2024",20.768,18.37,23.38,651,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher working","neet","neet",,,"2014 to 2024",12.092,10.032,14.386,608,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Intermediate","neet","neet",,,"2014 to 2024",11.338,9.621,13.246,867,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower professional","neet","neet",,,"2014 to 2024",10.76,9.179,12.55,1017,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher professional","neet","neet",,,"2014 to 2024",9.707,8.2,11.392,1050,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower working","neet","neet",,,"2014 to 2024",20.959,18.568,23.624,574,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher working","neet","neet",,,"2014 to 2024",13.916,11.583,16.549,472,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Intermediate","neet","neet",,,"2014 to 2024",11.961,10.234,14.009,772,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower professional","neet","neet",,,"2014 to 2024",10.977,9.309,12.855,839,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher professional","neet","neet",,,"2014 to 2024",9.29,7.8,10.988,897,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower working","neet","neet",,,"2014 to 2024",21.997,19.596,24.657,524,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher working","neet","neet",,,"2014 to 2024",17.029,14.469,19.954,381,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Intermediate","neet","neet",,,"2014 to 2024",12.28,10.473,14.33,637,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower professional","neet","neet",,,"2014 to 2024",11.901,10.221,13.831,715,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher professional","neet","neet",,,"2014 to 2024",8.908,7.473,10.597,749,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Total","neet","neet",,,"2014 to 2024",14.047,13.221,14.918,6514,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Total","neet","neet",,,"2014 to 2024",13.349,12.531,14.202,6173,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Total","neet","neet",,,"2014 to 2024",13.04,12.209,13.901,5694,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Total","neet","neet",,,"2014 to 2024",13.059,12.217,13.936,5421,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Total","neet","neet",,,"2014 to 2024",13.105,12.262,13.987,4848,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Total","neet","neet",,,"2014 to 2024",12.965,12.134,13.854,4723,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Total","neet","neet",,,"2014 to 2024",12.604,11.768,13.475,4193,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Total","neet","neet",,,"2014 to 2024",13.04,12.175,13.957,3555,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Total","neet","neet",,,"2014 to 2024",13.868,12.99,14.814,3006,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working",,,,,"2024",33.713,29.925,37.763,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working",,,,,"2024",30.227,25.791,34.825,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate",,,,,"2024",32.482,28.898,36.309,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower professional",,,,,"2024",30.176,27.154,33.484,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional",,,,,"2024",38.532,35.103,42.013,787,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower working",,,,,"2024",44.433,40.331,48.556,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher working",,,,,"2024",51.164,46.167,55.981,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Intermediate",,,,,"2024",55.187,51.299,59.155,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower professional",,,,,"2024",56.638,53.191,60.009,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional",,,,,"2024",52.821,49.303,56.387,787,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower working",,,,,"2024",21.854,18.608,25.489,581,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher working",,,,,"2024",18.609,14.998,22.705,415,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Intermediate",,,,,"2024",12.331,9.994,15.274,637,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower professional",,,,,"2024",13.186,10.966,15.664,837,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional",,,,,"2024",8.647,6.816,10.879,787,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb",,,,,,"2024",33.225,31.609,34.873,3257,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb",,,,,,"2024",52.375,50.647,54.106,3257,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb",,,,,,"2024",14.4,13.221,15.663,3257,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working","sex","Women",,,"2014-2024",30.6,29.328,31.894,5030,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working","sex","Men",,,"2014-2024",31.521,30.232,32.84,4949,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working","sex","Women",,,"2014-2024",28.306,27.037,29.614,4769,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working","sex","Men",,,"2014-2024",27.949,26.684,29.247,4784,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate","sex","Women",,,"2014-2024",28.413,27.249,29.624,5626,"Percent",
"in21","Destinations following the end of compulsory full-time education","sex","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate","sex","Men",,,"2014-2024",29.622,28.442,30.831,5695,"Percent",
